Aberdare Athletic
Accrington
Accrington F.C.
Accrington Stanley
AFC Bournemouth
AFC Wimbledon
Aldershot
Arsenal
Ashington
Aston Villa
Barnet
Barnsley
Barrow
Birmingham City
Blackburn Rovers
Blackpool
Bolton Wanderers
Bootle
Boston United
Bradford City
Bradford Park Avenue
Brentford
Brighton & Hove Albion
Bristol City
Bristol Rovers
Burnley
Burton Albion
Burton Swifts
Burton United
Burton Wanderers
Bury
Cambridge United
Cardiff City
Carlisle United
Charlton Athletic
Chelsea
Cheltenham
Chester
Chesterfield
Colchester United
Coventry City
Crawley Town
Crewe Alexandra
Crystal Palace
Dagenham and Redbridge
Darlington
Darwen
Derby County
Doncaster Rovers
Durham City
Everton
Exeter City
Fleetwood Town
Fulham
Gainsborough Trinity
Gateshead
Gillingham
Glossop North End
Grimsby Town
Halifax Town
Hartlepool United
Hereford United
Huddersfield Town
Hull City
Ipswich Town
Kidderminster Harriers
Leeds City
Leeds United
Leicester City
Leyton Orient
Lincoln City
Liverpool
Loughborough
Luton Town
Macclesfield
Maidstone United
Manchester City
Manchester United
Mansfield Town
Merthyr Town
Middlesbrough
Middlesbrough Ironopolis
Millwall
Milton Keynes Dons
Morecambe
Nelson
New Brighton
New Brighton Tower
Newcastle United
Newport County
Northampton Town
Northwich Victoria
Norwich City
Nottingham Forest
Notts County
Oldham Athletic
Oxford United
Peterborough United
Plymouth Argyle
Port Vale
Portsmouth
Preston North End
Queens Park Rangers
Reading
Rochdale
Rotherham County
Rotherham Town
Rotherham United
Rushden & Diamonds
Scarborough
Scunthorpe United
Sheffield United
Sheffield Wednesday
Shrewsbury Town
South Shields
Southampton
Southend United
Southport
Stalybridge Celtic
Stevenage Borough
Stockport County
Stoke City
Sunderland
Swansea City
Swindon Town
Thames
Torquay United
Tottenham Hotspur
Tranmere Rovers
Walsall
Watford
West Bromwich Albion
West Ham United
Wigan Athletic
Wigan Borough
Wimbledon
Wolverhampton Wanderers
Workington
Wrexham
Wycombe Wanderers
Yeovil
York City
