team_1,team_2,score,manager_1,manager_2,season,game_week
Juventude RS,Paraná Clube,1:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Caio Júnior,2006,1
Vasco da Gama,Internacional,1:1 (0:0),Manager:   Renato Gaúcho,Manager:   Abel Braga,2006,1
Grêmio Porto Alegre,Corinthians SP,2:0 (1:0),Manager:   Mano Menezes,Manager:   Ademar Braga,2006,1
São Paulo FC,Flamengo RJ,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Waldemar Lemos,2006,1
São Caetano,Cruzeiro EC,2:1 (1:1),Manager:   Nelsinho Baptista,Manager:   Gusmão,2006,1
Botafogo RJ,Fortaleza,1:0 (1:0),Manager:   Carlos Roberto,Manager:   Jair Picerni,2006,1
Santa Cruz FC,Figueirense,0:0,Manager:   Giba,Manager:   Adilson Batista,2006,1
SE Palmeiras,Ponte Preta,2:3 (0:2),Manager:   Émerson Leão,Manager:   Vadão,2006,1
Goiás EC,Santos FC,0:0,Manager:   Geninho,Manager:   Vanderlei Luxemburgo,2006,1
Atlético Paranaense,Fluminense RJ,1:2 (0:1),Manager:   Givanildo Oliveira,Manager:   Oswaldo de Oliveira,2006,1
Corinthians SP,São Caetano,3:0 (1:0),Manager:   Ademar Braga,Manager:   Nelsinho Baptista,2006,2
Fluminense RJ,Goiás EC,1:0 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Geninho,2006,2
Figueirense,SE Palmeiras,6:1 (3:1),Manager:   Adilson Batista,Manager:   Émerson Leão,2006,2
Internacional,Santa Cruz FC,1:0 (0:0),Manager:   Abel Braga,Manager:   Giba,2006,2
Santos FC,Atlético Paranaense,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Givanildo Oliveira,2006,2
Ponte Preta,Vasco da Gama,1:2 (0:0),Manager:   Vadão,Manager:   Renato Gaúcho,2006,2
Flamengo RJ,Juventude RS,3:1 (2:0),Manager:   Waldemar Lemos,Manager:   Hélio dos Anjos,2006,2
Cruzeiro EC,Grêmio Porto Alegre,3:1 (0:1),Manager:   Gusmão,Manager:   Mano Menezes,2006,2
Paraná Clube,Botafogo RJ,0:0,Manager:   Caio Júnior,Manager:   Carlos Roberto,2006,2
Fortaleza,São Paulo FC,1:0 (1:0),Manager:   Jair Picerni,Manager:   Muricy Ramalho,2006,2
Fortaleza,São Caetano,2:1 (0:1),Manager:   Jair Picerni,Manager:   Nelsinho Baptista,2006,3
Botafogo RJ,Atlético Paranaense,0:4 (0:1),Manager:   Carlos Roberto,Manager:   Givanildo Oliveira,2006,3
São Paulo FC,Santa Cruz FC,4:0 (0:0),Manager:   Muricy Ramalho,Manager:   Giba,2006,3
Internacional,Flamengo RJ,1:0 (0:0),Manager:   Abel Braga,Manager:   Waldemar Lemos,2006,3
Ponte Preta,Corinthians SP,3:2 (1:1),Manager:   Vadão,Manager:   Ademar Braga,2006,3
Paraná Clube,Grêmio Porto Alegre,5:2 (3:1),Manager:   Caio Júnior,Manager:   Mano Menezes,2006,3
SE Palmeiras,Santos FC,1:2 (0:0),Manager:   Marcelo Vilar,Manager:   Vanderlei Luxemburgo,2006,3
Vasco da Gama,Fluminense RJ,1:1 (1:0),Manager:   Renato Gaúcho,Manager:   Oswaldo de Oliveira,2006,3
Juventude RS,Goiás EC,1:1 (1:0),Manager:   Hélio dos Anjos,Manager:   Geninho,2006,3
Figueirense,Cruzeiro EC,0:2 (0:2),Manager:   Adilson Batista,Manager:   Gusmão,2006,3
Santa Cruz FC,Ponte Preta,1:1 (1:0),Manager:   Giba,Manager:   Vadão,2006,4
Fluminense RJ,Paraná Clube,2:1 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Caio Júnior,2006,4
Santos FC,Fortaleza,2:0 (2:0),Manager:   Vanderlei Luxemburgo,Manager:   Márcio Bittencourt,2006,4
Grêmio Porto Alegre,Vasco da Gama,1:2 (1:2),Manager:   Mano Menezes,Manager:   Renato Gaúcho,2006,4
São Caetano,SE Palmeiras,2:0 (2:0),Manager:   Nelsinho Baptista,Manager:   Marcelo Vilar,2006,4
Atlético Paranaense,Internacional,1:2 (1:1),Manager:   Givanildo Oliveira,Manager:   Abel Braga,2006,4
Corinthians SP,São Paulo FC,1:3 (1:1),Manager:   Ademar Braga,Manager:   Muricy Ramalho,2006,4
Goiás EC,Figueirense,2:1 (0:0),Manager:   Geninho,Manager:   Adilson Batista,2006,4
Flamengo RJ,Botafogo RJ,1:0 (0:0),Manager:   Waldemar Lemos,Manager:   Carlos Roberto,2006,4
Cruzeiro EC,Juventude RS,2:0 (1:0),Manager:   Gusmão,Manager:   Hélio dos Anjos,2006,4
São Caetano,Juventude RS,0:2 (0:1),Manager:   Nelsinho Baptista,Manager:   Hélio dos Anjos,2006,5
Botafogo RJ,Grêmio Porto Alegre,2:2 (2:0),Manager:   Carlos Roberto,Manager:   Mano Menezes,2006,5
Santos FC,Ponte Preta,3:1 (2:0),Manager:   Vanderlei Luxemburgo,Manager:   Vadão,2006,5
Santa Cruz FC,Atlético Paranaense,1:2 (1:1),Manager:   Valdyr Espinosa,Manager:   Givanildo Oliveira,2006,5
Internacional,São Paulo FC,3:1 (1:0),Manager:   Abel Braga,Manager:   Muricy Ramalho,2006,5
Figueirense,Fluminense RJ,1:0 (0:0),Manager:   Adilson Batista,Manager:   Oswaldo de Oliveira,2006,5
SE Palmeiras,Cruzeiro EC,1:1 (0:1),Manager:   Marcelo Vilar,Manager:   Gusmão,2006,5
Flamengo RJ,Fortaleza,0:0,Manager:   Waldemar Lemos,Manager:   Márcio Bittencourt,2006,5
Paraná Clube,Corinthians SP,1:2 (0:1),Manager:   Caio Júnior,Manager:   Geninho,2006,5
Goiás EC,Vasco da Gama,2:0 (0:0),Manager:   Antônio Lopes,Manager:   Renato Gaúcho,2006,5
Atlético Paranaense,Goiás EC,2:3 (1:0),Manager:   Givanildo Oliveira,Manager:   Antônio Lopes,2006,6
Fortaleza,Paraná Clube,1:1 (0:0),Manager:   Márcio Bittencourt,Manager:   Caio Júnior,2006,6
Internacional,Figueirense,2:4 (1:2),Manager:   Abel Braga,Manager:   Adilson Batista,2006,6
São Paulo FC,São Caetano,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Nelsinho Baptista,2006,6
Vasco da Gama,Corinthians SP,2:4 (0:0),Manager:   Renato Gaúcho,Manager:   Geninho,2006,6
Cruzeiro EC,Flamengo RJ,2:1 (1:1),Manager:   Gusmão,Manager:   Waldemar Lemos,2006,6
SE Palmeiras,Santa Cruz FC,2:1 (1:1),Manager:   Tite,Manager:   Valdyr Espinosa,2006,6
Ponte Preta,Grêmio Porto Alegre,1:1 (0:0),Manager:   Vadão,Manager:   Mano Menezes,2006,6
Fluminense RJ,Santos FC,1:0 (0:0),Manager:   Oswaldo de Oliveira,Manager:   Vanderlei Luxemburgo,2006,6
Juventude RS,Botafogo RJ,1:0 (1:0),Manager:   Hélio dos Anjos,Manager:   Carlos Roberto,2006,6
Juventude RS,Santa Cruz FC,4:1 (0:0),Manager:   Hélio dos Anjos,Manager:   Valdyr Espinosa,2006,7
Paraná Clube,Figueirense,0:0,Manager:   Caio Júnior,Manager:   Adilson Batista,2006,7
Cruzeiro EC,Ponte Preta,5:1 (2:0),Manager:   Gusmão,Manager:   Vadão,2006,7
São Paulo FC,SE Palmeiras,4:1 (1:1),Manager:   Muricy Ramalho,Manager:   Tite,2006,7
São Caetano,Atlético Paranaense,2:1 (1:0),Manager:   Nelsinho Baptista,Manager:   Givanildo Oliveira,2006,7
Flamengo RJ,Santos FC,2:2 (1:2),Manager:   Ney Franco,Manager:   Vanderlei Luxemburgo,2006,7
Fortaleza,Fluminense RJ,2:5 (0:1),Manager:   Márcio Bittencourt,Manager:   Oswaldo de Oliveira,2006,7
Botafogo RJ,Vasco da Gama,4:1 (3:0),Manager:   Cuca,Manager:   Renato Gaúcho,2006,7
Grêmio Porto Alegre,Goiás EC,2:0 (2:0),Manager:   Mano Menezes,Manager:   Antônio Lopes,2006,7
Corinthians SP,Internacional,0:1 (0:1),Manager:   Geninho,Manager:   Abel Braga,2006,7
Figueirense,Fortaleza,0:0,Manager:   Adilson Batista,Manager:   Márcio Bittencourt,2006,8
Ponte Preta,Paraná Clube,2:5 (2:2),Manager:   Vadão,Manager:   Caio Júnior,2006,8
Atlético Paranaense,Juventude RS,1:0 (0:0),Manager:   Givanildo Oliveira,Manager:   Hélio dos Anjos,2006,8
Internacional,Cruzeiro EC,1:1 (1:1),Manager:   Abel Braga,Manager:   Gusmão,2006,8
Santos FC,Corinthians SP,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Geninho,2006,8
Santa Cruz FC,Botafogo RJ,1:1 (0:1),Manager:   Valdyr Espinosa,Manager:   Cuca,2006,8
Fluminense RJ,Flamengo RJ,1:0 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Ney Franco,2006,8
Goiás EC,São Caetano,2:1 (0:0),Manager:   Antônio Lopes,Manager:   Nelsinho Baptista,2006,8
Vasco da Gama,São Paulo FC,1:1 (0:1),Manager:   Renato Gaúcho,Manager:   Muricy Ramalho,2006,8
SE Palmeiras,Grêmio Porto Alegre,0:1 (0:1),Manager:   Tite,Manager:   Mano Menezes,2006,8
Juventude RS,Ponte Preta,0:1 (0:1),Manager:   Hélio dos Anjos,Manager:   Marco Aurélio,2006,9
Cruzeiro EC,Atlético Paranaense,1:1 (1:0),Manager:   Gusmão,Manager:   Givanildo Oliveira,2006,9
Fortaleza,Vasco da Gama,1:1 (1:0),Manager:   Márcio Bittencourt,Manager:   Renato Gaúcho,2006,9
São Caetano,Internacional,1:1 (1:1),Manager:   Nelsinho Baptista,Manager:   Abel Braga,2006,9
Flamengo RJ,SE Palmeiras,2:1 (0:0),Manager:   Ney Franco,Manager:   Tite,2006,9
Grêmio Porto Alegre,Santos FC,1:0 (1:0),Manager:   Mano Menezes,Manager:   Vanderlei Luxemburgo,2006,9
São Paulo FC,Fluminense RJ,1:0 (1:0),Manager:   Muricy Ramalho,Manager:   Oswaldo de Oliveira,2006,9
Paraná Clube,Santa Cruz FC,3:0 (1:0),Manager:   Caio Júnior,Manager:   Valdyr Espinosa,2006,9
Botafogo RJ,Figueirense,2:3 (0:1),Manager:   Cuca,Manager:   Adilson Batista,2006,9
Corinthians SP,Goiás EC,0:1 (0:0),Manager:   Geninho,Manager:   Antônio Lopes,2006,9
Fluminense RJ,Internacional,2:3 (1:1),Manager:   Oswaldo de Oliveira,Manager:   Abel Braga,2006,10
Fortaleza,Cruzeiro EC,0:2 (0:1),Manager:   Márcio Bittencourt,Manager:   Gusmão,2006,10
Grêmio Porto Alegre,São Caetano,1:1 (1:1),Manager:   Mano Menezes,Manager:   Émerson Leão,2006,10
Atlético Paranaense,SE Palmeiras,2:0 (1:0),Manager:   Givanildo Oliveira,Manager:   Tite,2006,10
Vasco da Gama,Santa Cruz FC,2:1 (1:0),Manager:   Renato Gaúcho,Manager:   Valdyr Espinosa,2006,10
Corinthians SP,Flamengo RJ,0:2 (0:0),Manager:   Geninho,Manager:   Ney Franco,2006,10
Ponte Preta,Figueirense,3:0 (3:0),Manager:   Marco Aurélio,Manager:   Adilson Batista,2006,10
Goiás EC,Paraná Clube,1:2 (0:1),Manager:   Antônio Lopes,Manager:   Caio Júnior,2006,10
Juventude RS,São Paulo FC,1:1 (0:0),Manager:   Hélio dos Anjos,Manager:   Muricy Ramalho,2006,10
Santos FC,Botafogo RJ,0:0,Manager:   Vanderlei Luxemburgo,Manager:   Cuca,2006,10
Internacional,Ponte Preta,2:0 (1:0),Manager:   Abel Braga,Manager:   Marco Aurélio,2006,11
Atlético Paranaense,Fortaleza,0:0,Manager:   Givanildo Oliveira,Manager:   Hélio dos Anjos,2006,11
Fluminense RJ,Juventude RS,3:2 (1:2),Manager:   Oswaldo de Oliveira,Manager:   Ivo Wortmann,2006,11
São Paulo FC,Grêmio Porto Alegre,2:1 (1:1),Manager:   Muricy Ramalho,Manager:   Mano Menezes,2006,11
Figueirense,Santos FC,2:1 (1:0),Manager:   Waldemar Lemos,Manager:   Vanderlei Luxemburgo,2006,11
São Caetano,Botafogo RJ,1:1 (1:0),Manager:   Émerson Leão,Manager:   Cuca,2006,11
Cruzeiro EC,Corinthians SP,2:0 (1:0),Manager:   Gusmão,Manager:   Geninho,2006,11
Santa Cruz FC,Goiás EC,2:1 (0:1),Manager:   Mauricio Simões,Manager:   Antônio Lopes,2006,11
Flamengo RJ,Paraná Clube,1:4 (1:1),Manager:   Ney Franco,Manager:   Caio Júnior,2006,11
SE Palmeiras,Vasco da Gama,4:2 (3:2),Manager:   Tite,Manager:   Renato Gaúcho,2006,11
Botafogo RJ,Ponte Preta,4:1 (0:1),Manager:   Cuca,Manager:   Marco Aurélio,2006,12
São Paulo FC,Figueirense,2:1 (1:0),Manager:   Muricy Ramalho,Manager:   Waldemar Lemos,2006,12
Grêmio Porto Alegre,Fluminense RJ,4:4 (1:0),Manager:   Mano Menezes,Manager:   Oswaldo de Oliveira,2006,12
São Caetano,Santos FC,2:0 (0:0),Manager:   Émerson Leão,Manager:   Vanderlei Luxemburgo,2006,12
Cruzeiro EC,Goiás EC,0:0,Manager:   Gusmão,Manager:   Antônio Lopes,2006,12
SE Palmeiras,Corinthians SP,1:0 (1:0),Manager:   Tite,Manager:   Geninho,2006,12
Flamengo RJ,Vasco da Gama,0:1 (0:0),Manager:   Ney Franco,Manager:   Renato Gaúcho,2006,12
Juventude RS,Internacional,2:0 (2:0),Manager:   Ivo Wortmann,Manager:   Abel Braga,2006,12
Paraná Clube,Atlético Paranaense,2:1 (1:0),Manager:   Caio Júnior,Manager:   Givanildo Oliveira,2006,12
Fortaleza,Santa Cruz FC,1:4 (0:3),Manager:   Hélio dos Anjos,Manager:   Mauricio Simões,2006,12
Figueirense,Grêmio Porto Alegre,2:0 (1:0),Manager:   Waldemar Lemos,Manager:   Mano Menezes,2006,13
Paraná Clube,Cruzeiro EC,1:0 (0:0),Manager:   Caio Júnior,Manager:   Gusmão,2006,13
Corinthians SP,Fortaleza,2:2 (1:1),Manager:   Geninho,Manager:   Hélio dos Anjos,2006,13
Fluminense RJ,São Caetano,2:2 (1:1),Manager:   Oswaldo de Oliveira,Manager:   Émerson Leão,2006,13
Ponte Preta,São Paulo FC,1:3 (1:1),Manager:   Marco Aurélio,Manager:   Muricy Ramalho,2006,13
Vasco da Gama,Atlético Paranaense,2:1 (0:0),Manager:   Renato Gaúcho,Manager:   Vadão,2006,13
Santa Cruz FC,Flamengo RJ,3:0 (1:0),Manager:   Mauricio Simões,Manager:   Ney Franco,2006,13
Santos FC,Juventude RS,3:2 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Ivo Wortmann,2006,13
Internacional,Botafogo RJ,0:0,Manager:   Abel Braga,Manager:   Cuca,2006,13
Goiás EC,SE Palmeiras,1:3 (1:2),Manager:   Antônio Lopes,Manager:   Tite,2006,13
Juventude RS,Figueirense,1:0 (0:0),Manager:   Ivo Wortmann,Manager:   Waldemar Lemos,2006,14
São Caetano,Ponte Preta,1:1 (0:1),Manager:   Émerson Leão,Manager:   Marco Aurélio,2006,14
SE Palmeiras,Paraná Clube,4:2 (1:0),Manager:   Tite,Manager:   Caio Júnior,2006,14
Atlético Paranaense,Flamengo RJ,1:0 (0:0),Manager:   Vadão,Manager:   Ney Franco,2006,14
Vasco da Gama,Cruzeiro EC,1:0 (0:0),Manager:   Renato Gaúcho,Manager:   Gusmão,2006,14
Santa Cruz FC,Corinthians SP,1:0 (0:0),Manager:   Mauricio Simões,Manager:   Geninho,2006,14
São Paulo FC,Santos FC,0:4 (0:2),Manager:   Muricy Ramalho,Manager:   Vanderlei Luxemburgo,2006,14
Fluminense RJ,Botafogo RJ,1:1 (1:1),Manager:   Oswaldo de Oliveira,Manager:   Cuca,2006,14
Internacional,Grêmio Porto Alegre,0:0,Manager:   Abel Braga,Manager:   Mano Menezes,2006,14
Goiás EC,Fortaleza,1:1 (1:0),Manager:   Antônio Lopes,Manager:   Hélio dos Anjos,2006,14
Grêmio Porto Alegre,Juventude RS,1:0 (0:0),Manager:   Mano Menezes,Manager:   Ivo Wortmann,2006,15
Figueirense,São Caetano,1:1 (0:0),Manager:   Waldemar Lemos,Manager:   Émerson Leão,2006,15
Flamengo RJ,Goiás EC,1:0 (0:0),Manager:   Ney Franco,Manager:   Antônio Lopes,2006,15
Corinthians SP,Atlético Paranaense,2:1 (2:1),Manager:   Geninho,Manager:   Vadão,2006,15
Botafogo RJ,São Paulo FC,1:1 (1:0),Manager:   Cuca,Manager:   Muricy Ramalho,2006,15
Santos FC,Internacional,2:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Abel Braga,2006,15
Paraná Clube,Vasco da Gama,2:1 (1:0),Manager:   Caio Júnior,Manager:   Renato Gaúcho,2006,15
Ponte Preta,Fluminense RJ,3:0 (0:0),Manager:   Marco Aurélio,Manager:   Oswaldo de Oliveira,2006,15
Cruzeiro EC,Santa Cruz FC,3:3 (2:1),Manager:   Gusmão,Manager:   Mauricio Simões,2006,15
Fortaleza,SE Palmeiras,0:0,Manager:   Hélio dos Anjos,Manager:   Tite,2006,15
Juventude RS,Vasco da Gama,0:0,Manager:   Ivo Wortmann,Manager:   Renato Gaúcho,2006,16
São Caetano,Santa Cruz FC,2:0 (1:0),Manager:   Émerson Leão,Manager:   Mauricio Simões,2006,16
Flamengo RJ,Ponte Preta,0:0,Manager:   Ney Franco,Manager:   Marco Aurélio,2006,16
Corinthians SP,Figueirense,1:3 (0:0),Manager:   Geninho,Manager:   Waldemar Lemos,2006,16
Botafogo RJ,SE Palmeiras,1:3 (1:2),Manager:   Cuca,Manager:   Tite,2006,16
Grêmio Porto Alegre,Atlético Paranaense,2:0 (0:0),Manager:   Mano Menezes,Manager:   Vadão,2006,16
Cruzeiro EC,Fluminense RJ,2:3 (1:1),Manager:   Gusmão,Manager:   Josué Teixeira,2006,16
Fortaleza,Internacional,1:2 (1:0),Manager:   Hélio dos Anjos,Manager:   Abel Braga,2006,16
São Paulo FC,Goiás EC,2:1 (1:0),Manager:   Muricy Ramalho,Manager:   Antônio Lopes,2006,16
Paraná Clube,Santos FC,1:1 (1:1),Manager:   Caio Júnior,Manager:   Vanderlei Luxemburgo,2006,16
Ponte Preta,Fortaleza,1:3 (0:1),Manager:   Marco Aurélio,Manager:   Hélio dos Anjos,2006,17
Vasco da Gama,São Caetano,1:2 (0:1),Manager:   Renato Gaúcho,Manager:   Gusmão,2006,17
Santa Cruz FC,Grêmio Porto Alegre,2:4 (1:0),Manager:   Mauricio Simões,Manager:   Mano Menezes,2006,17
Goiás EC,Botafogo RJ,2:2 (1:1),Manager:   Geninho,Manager:   Cuca,2006,17
Figueirense,Flamengo RJ,1:1 (0:1),Manager:   Waldemar Lemos,Manager:   Ney Franco,2006,17
Fluminense RJ,Corinthians SP,1:2 (1:2),Manager:   Josué Teixeira,Manager:   Émerson Leão,2006,17
Santos FC,Cruzeiro EC,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Oswaldo de Oliveira,2006,17
SE Palmeiras,Juventude RS,1:1 (0:0),Manager:   Tite,Manager:   Ivo Wortmann,2006,17
Internacional,Paraná Clube,3:2 (3:0),Manager:   Abel Braga,Manager:   Caio Júnior,2006,17
Atlético Paranaense,São Paulo FC,0:0,Manager:   Vadão,Manager:   Muricy Ramalho,2006,17
Ponte Preta,Goiás EC,3:2 (2:0),Manager:   Marco Aurélio,Manager:   Geninho,2006,18
Flamengo RJ,Grêmio Porto Alegre,1:0 (0:0),Manager:   Ney Franco,Manager:   Mano Menezes,2006,18
Fluminense RJ,Santa Cruz FC,1:1 (1:1),Manager:   Josué Teixeira,Manager:   Mauricio Simões,2006,18
Santos FC,Vasco da Gama,0:2 (0:0),Manager:   Vanderlei Luxemburgo,Manager:   Renato Gaúcho,2006,18
Cruzeiro EC,São Paulo FC,2:2 (2:1),Manager:   Oswaldo de Oliveira,Manager:   Muricy Ramalho,2006,18
Fortaleza,Juventude RS,4:1 (2:0),Manager:   Hélio dos Anjos,Manager:   Ivo Wortmann,2006,18
Figueirense,Atlético Paranaense,3:3 (2:1),Manager:   Waldemar Lemos,Manager:   Vadão,2006,18
Paraná Clube,São Caetano,1:0 (0:0),Manager:   Caio Júnior,Manager:   Gusmão,2006,18
Internacional,SE Palmeiras,1:1 (1:0),Manager:   Abel Braga,Manager:   Tite,2006,18
Corinthians SP,Botafogo RJ,1:0 (0:0),Manager:   Émerson Leão,Manager:   Cuca,2006,18
Goiás EC,Internacional,2:2 (0:1),Manager:   Geninho,Manager:   Abel Braga,2006,19
SE Palmeiras,Fluminense RJ,3:0 (2:0),Manager:   Tite,Manager:   Antônio Lopes,2006,19
Atlético Paranaense,Ponte Preta,3:0 (1:0),Manager:   Vadão,Manager:   Marco Aurélio,2006,19
Botafogo RJ,Cruzeiro EC,1:0 (1:0),Manager:   Cuca,Manager:   Oswaldo de Oliveira,2006,19
Santa Cruz FC,Santos FC,1:1 (0:1),Manager:   Mauricio Simões,Manager:   Vanderlei Luxemburgo,2006,19
Juventude RS,Corinthians SP,0:0,Manager:   Ivo Wortmann,Manager:   Émerson Leão,2006,19
São Caetano,Flamengo RJ,2:2 (1:1),Manager:   Gusmão,Manager:   Ney Franco,2006,19
Grêmio Porto Alegre,Fortaleza,4:1 (3:0),Manager:   Mano Menezes,Manager:   Hélio dos Anjos,2006,19
São Paulo FC,Paraná Clube,3:2 (1:2),Manager:   Muricy Ramalho,Manager:   Caio Júnior,2006,19
Vasco da Gama,Figueirense,3:1 (1:1),Manager:   Renato Gaúcho,Manager:   Waldemar Lemos,2006,19
Fluminense RJ,Atlético Paranaense,1:2 (0:1),Manager:   Antônio Lopes,Manager:   Vadão,2006,20
Cruzeiro EC,São Caetano,3:0 (3:0),Manager:   Oswaldo de Oliveira,Manager:   Gusmão,2006,20
Santos FC,Goiás EC,2:1 (0:1),Manager:   Vanderlei Luxemburgo,Manager:   Geninho,2006,20
Paraná Clube,Juventude RS,0:1 (0:0),Manager:   Caio Júnior,Manager:   Ivo Wortmann,2006,20
Internacional,Vasco da Gama,1:2 (1:1),Manager:   Abel Braga,Manager:   Renato Gaúcho,2006,20
Corinthians SP,Grêmio Porto Alegre,0:2 (0:1),Manager:   Émerson Leão,Manager:   Mano Menezes,2006,20
Flamengo RJ,São Paulo FC,1:1 (1:0),Manager:   Ney Franco,Manager:   Muricy Ramalho,2006,20
Figueirense,Santa Cruz FC,2:0 (0:0),Manager:   Waldemar Lemos,Manager:   Mauricio Simões,2006,20
Ponte Preta,SE Palmeiras,1:1 (1:0),Manager:   Marco Aurélio,Manager:   Tite,2006,20
Fortaleza,Botafogo RJ,2:3 (0:1),Manager:   Hélio dos Anjos,Manager:   Cuca,2006,20
Grêmio Porto Alegre,Cruzeiro EC,2:1 (1:0),Manager:   Mano Menezes,Manager:   Oswaldo de Oliveira,2006,21
Goiás EC,Fluminense RJ,3:1 (0:1),Manager:   Geninho,Manager:   Antônio Lopes,2006,21
Santa Cruz FC,Internacional,0:2 (0:1),Manager:   Mauricio Simões,Manager:   Abel Braga,2006,21
SE Palmeiras,Figueirense,1:1 (0:0),Manager:   Tite,Manager:   Waldemar Lemos,2006,21
São Caetano,Corinthians SP,0:1 (0:1),Manager:   Gusmão,Manager:   Émerson Leão,2006,21
Atlético Paranaense,Santos FC,2:1 (0:0),Manager:   Vadão,Manager:   Vanderlei Luxemburgo,2006,21
Juventude RS,Flamengo RJ,1:0 (0:0),Manager:   Ivo Wortmann,Manager:   Ney Franco,2006,21
Vasco da Gama,Ponte Preta,2:2 (0:1),Manager:   Renato Gaúcho,Manager:   Marco Aurélio,2006,21
Botafogo RJ,Paraná Clube,4:0 (2:0),Manager:   Cuca,Manager:   Caio Júnior,2006,21
São Paulo FC,Fortaleza,1:1 (0:0),Manager:   Muricy Ramalho,Manager:   Hélio dos Anjos,2006,21
Cruzeiro EC,Figueirense,2:2 (0:1),Manager:   Oswaldo de Oliveira,Manager:   Waldemar Lemos,2006,22
Flamengo RJ,Internacional,1:2 (1:0),Manager:   Ney Franco,Manager:   Abel Braga,2006,22
São Caetano,Fortaleza,0:0,Manager:   Dino Camargo,Manager:   Hélio dos Anjos,2006,22
Atlético Paranaense,Botafogo RJ,0:5 (0:4),Manager:   Vadão,Manager:   Cuca,2006,22
Grêmio Porto Alegre,Paraná Clube,2:1 (1:1),Manager:   Mano Menezes,Manager:   Caio Júnior,2006,22
Santos FC,SE Palmeiras,5:1 (2:1),Manager:   Vanderlei Luxemburgo,Manager:   Tite,2006,22
Goiás EC,Juventude RS,2:0 (1:0),Manager:   Geninho,Manager:   Ivo Wortmann,2006,22
Santa Cruz FC,São Paulo FC,1:3 (0:1),Manager:   Mauricio Simões,Manager:   Muricy Ramalho,2006,22
Corinthians SP,Ponte Preta,1:0 (0:0),Manager:   Émerson Leão,Manager:   Marco Aurélio,2006,22
Fluminense RJ,Vasco da Gama,1:1 (0:0),Manager:   Antônio Lopes,Manager:   Renato Gaúcho,2006,22
Ponte Preta,Santa Cruz FC,2:0 (1:0),Manager:   Marco Aurélio,Manager:   Mauricio Simões,2006,23
Vasco da Gama,Grêmio Porto Alegre,1:1 (1:1),Manager:   Renato Gaúcho,Manager:   Mano Menezes,2006,23
SE Palmeiras,São Caetano,3:1 (3:1),Manager:   Tite,Manager:   Hélio dos Anjos,2006,23
Paraná Clube,Fluminense RJ,1:0 (1:0),Manager:   Caio Júnior,Manager:   Antônio Lopes,2006,23
Figueirense,Goiás EC,2:2 (0:0),Manager:   Waldemar Lemos,Manager:   Geninho,2006,23
São Paulo FC,Corinthians SP,0:0,Manager:   Muricy Ramalho,Manager:   Émerson Leão,2006,23
Juventude RS,Cruzeiro EC,2:0 (2:0),Manager:   Ivo Wortmann,Manager:   Oswaldo de Oliveira,2006,23
Internacional,Atlético Paranaense,2:0 (1:0),Manager:   Abel Braga,Manager:   Vadão,2006,23
Botafogo RJ,Flamengo RJ,0:2 (0:2),Manager:   Cuca,Manager:   Ney Franco,2006,23
Fortaleza,Santos FC,1:1 (0:1),Manager:   Daniel Frasson,Manager:   Vanderlei Luxemburgo,2006,23
Atlético Paranaense,Santa Cruz FC,2:1 (1:0),Manager:   Vadão,Manager:   Mauricio Simões,2006,24
Corinthians SP,Paraná Clube,1:0 (0:0),Manager:   Émerson Leão,Manager:   Caio Júnior,2006,24
Vasco da Gama,Goiás EC,0:0,Manager:   Renato Gaúcho,Manager:   Geninho,2006,24
Juventude RS,São Caetano,1:0 (0:0),Manager:   Ivo Wortmann,Manager:   Hélio dos Anjos,2006,24
Grêmio Porto Alegre,Botafogo RJ,4:0 (1:0),Manager:   Mano Menezes,Manager:   Cuca,2006,24
São Paulo FC,Internacional,2:0 (1:0),Manager:   Muricy Ramalho,Manager:   Abel Braga,2006,24
Cruzeiro EC,SE Palmeiras,1:0 (1:0),Manager:   Oswaldo de Oliveira,Manager:   Tite,2006,24
Ponte Preta,Santos FC,1:0 (0:0),Manager:   Marco Aurélio,Manager:   Vanderlei Luxemburgo,2006,24
Fluminense RJ,Figueirense,2:0 (0:0),Manager:   Antônio Lopes,Manager:   Waldemar Lemos,2006,24
Fortaleza,Flamengo RJ,3:4 (1:3),Manager:   Daniel Frasson,Manager:   Ney Franco,2006,24
Grêmio Porto Alegre,Ponte Preta,4:0 (2:0),Manager:   Mano Menezes,Manager:   Marco Aurélio,2006,25
Paraná Clube,Fortaleza,2:0 (0:0),Manager:   Caio Júnior,Manager:   Daniel Frasson,2006,25
Figueirense,Internacional,1:0 (1:0),Manager:   Waldemar Lemos,Manager:   Abel Braga,2006,25
Botafogo RJ,Juventude RS,2:1 (0:0),Manager:   Cuca,Manager:   Ivo Wortmann,2006,25
