team_1,team_2,score,manager_1,manager_2,season,game_week
Sport Club Recife,Clube Náutico,0:0 (0:0),Manager:   Vágner Mancini,Manager:   Alexandre Gallo,2012,19
EC Bahia,Atlético GO,1:1 (1:0),Manager:   Falcão,Manager:   Adilson Batista,2012,19
Santos FC,EC Bahia,1:3 (1:0),Manager:   Muricy Ramalho,Manager:   Falcão,2012,20
Coritiba FC,Internacional,1:0 (0:0),Manager:   Marcelo Oliveira,Manager:   Fernandão,2012,20
Atlético Mineiro,Ponte Preta,2:2 (1:1),Manager:   Cuca,Manager:  Gilson Kleina,2012,20
Portuguesa (SP),SE Palmeiras,3:0 (0:0),Manager:   Geninho,Manager:   Luiz Felipe Scolari,2012,20
Clube Náutico,Figueirense,3:2 (0:2),Manager:   Alexandre Gallo,Manager:  ???,2012,20
Fluminense RJ,Corinthians SP,1:1 (0:1),Manager:   Abel Braga,Manager:   Tite,2012,20
Grêmio Porto Alegre,Vasco da Gama,2:0 (1:0),Manager:   Vanderlei Luxemburgo,Manager:   Cristovão Borges,2012,20
Atlético GO,Cruzeiro EC,0:2 (0:1),Manager:   Adilson Batista,Manager:   Celso Roth,2012,20
Flamengo RJ,Sport Club Recife,1:1 (1:1),Manager:   Dorival Júnior,Manager:   Vágner Mancini,2012,20
São Paulo FC,Botafogo RJ,4:0 (1:0),Manager:   Mílton Cruz,Manager:   Oswaldo de Oliveira,2012,20
SE Palmeiras,Grêmio Porto Alegre,0:0 (0:0),Manager:   Luiz Felipe Scolari,Manager:   Vanderlei Luxemburgo,2012,21
Figueirense,Fluminense RJ,2:2 (0:0),Manager:  ???,Manager:   Abel Braga,2012,21
Vasco da Gama,Portuguesa (SP),2:0 (1:0),Manager:   Cristovão Borges,Manager:   Geninho,2012,21
Corinthians SP,Atlético Mineiro,1:0 (0:0),Manager:   Tite,Manager:   Cuca,2012,21
Internacional,Flamengo RJ,4:1 (2:1),Manager:   Fernandão,Manager:   Dorival Júnior,2012,21
Sport Club Recife,Santos FC,2:1 (2:0),Manager:   Vágner Mancini,Manager:   Muricy Ramalho,2012,21
EC Bahia,São Paulo FC,1:0 (0:0),Manager:   Falcão,Manager:   Mílton Cruz,2012,21
Botafogo RJ,Coritiba FC,2:0 (2:0),Manager:   Oswaldo de Oliveira,Manager:   Marcelo Oliveira,2012,21
Cruzeiro EC,Clube Náutico,3:0 (0:0),Manager:   Celso Roth,Manager:   Alexandre Gallo,2012,21
Ponte Preta,Atlético GO,3:1 (0:1),Manager:  Gilson Kleina,Manager:   Adilson Batista,2012,21
Flamengo RJ,Ponte Preta,0:1 (0:1),Manager:   Dorival Júnior,Manager:  Gilson Kleina,2012,22
Portuguesa (SP),Coritiba FC,3:0 (1:0),Manager:   Geninho,Manager:   Marcelo Oliveira,2012,22
Clube Náutico,Vasco da Gama,1:1 (1:0),Manager:   Alexandre Gallo,Manager:   Cristovão Borges,2012,22
EC Bahia,Atlético Mineiro,0:0 (0:0),Manager:   Falcão,Manager:   Cuca,2012,22
