team_1,team_2,score,manager_1,manager_2,season,game_week,team_1_score,team_2_score
Santa Cruz FC,São Paulo FC,1-3,Mauricio Simões,Muricy Ramalho,2006,22,1,3
Corinthians SP,Ponte Preta,1-0,Émerson Leão,Marco Aurélio,2006,22,1,0
Fluminense RJ,Vasco da Gama,1-1,Antônio Lopes,Renato Gaúcho,2006,22,1,1
Ponte Preta,Santa Cruz FC,2-0,Marco Aurélio,Mauricio Simões,2006,23,2,0
Vasco da Gama,Grêmio Porto Alegre,1-1,Renato Gaúcho,Mano Menezes,2006,23,1,1
SE Palmeiras,São Caetano,3-1,Tite,Hélio dos Anjos,2006,23,3,1
Paraná Clube,Fluminense RJ,1-0,Caio Júnior,Antônio Lopes,2006,23,1,0
Figueirense,Goiás EC,2-2,Waldemar Lemos,Geninho,2006,23,2,2
São Paulo FC,Corinthians SP,0-0,Muricy Ramalho,Émerson Leão,2006,23,0,0
Juventude RS,Cruzeiro EC,2-0,Ivo Wortmann,Oswaldo de Oliveira,2006,23,2,0
Internacional,Atlético Paranaense,2-0,Abel Braga,Vadão,2006,23,2,0
Botafogo RJ,Flamengo RJ,0-2,Cuca,Ney Franco,2006,23,0,2
Fortaleza,Santos FC,1-1,Daniel Frasson,Vanderlei Luxemburgo,2006,23,1,1
Atlético Paranaense,Santa Cruz FC,2-1,Vadão,Mauricio Simões,2006,24,2,1
Corinthians SP,Paraná Clube,1-0,Émerson Leão,Caio Júnior,2006,24,1,0
Vasco da Gama,Goiás EC,0-0,Renato Gaúcho,Geninho,2006,24,0,0
Juventude RS,São Caetano,1-0,Ivo Wortmann,Hélio dos Anjos,2006,24,1,0
Grêmio Porto Alegre,Botafogo RJ,4-0,Mano Menezes,Cuca,2006,24,4,0
São Paulo FC,Internacional,2-0,Muricy Ramalho,Abel Braga,2006,24,2,0
Cruzeiro EC,SE Palmeiras,1-0,Oswaldo de Oliveira,Tite,2006,24,1,0
Ponte Preta,Santos FC,1-0,Marco Aurélio,Vanderlei Luxemburgo,2006,24,1,0
Fluminense RJ,Figueirense,2-0,Antônio Lopes,Waldemar Lemos,2006,24,2,0
Fortaleza,Flamengo RJ,3-4,Daniel Frasson,Ney Franco,2006,24,3,4
Grêmio Porto Alegre,Ponte Preta,4-0,Mano Menezes,Marco Aurélio,2006,25,4,0
Paraná Clube,Fortaleza,2-0,Caio Júnior,Daniel Frasson,2006,25,2,0
Figueirense,Internacional,1-0,Waldemar Lemos,Abel Braga,2006,25,1,0
Botafogo RJ,Juventude RS,2-1,Cuca,Ivo Wortmann,2006,25,2,1
Goiás EC,Atlético Paranaense,2-2,Geninho,Vadão,2006,25,2,2
São Caetano,São Paulo FC,0-1,Hélio dos Anjos,Muricy Ramalho,2006,25,0,1
Corinthians SP,Vasco da Gama,1-1,Émerson Leão,Renato Gaúcho,2006,25,1,1
Santos FC,Fluminense RJ,1-1,Vanderlei Luxemburgo,Antônio Lopes,2006,25,1,1
Flamengo RJ,Cruzeiro EC,1-0,Ney Franco,Oswaldo de Oliveira,2006,25,1,0
Santa Cruz FC,SE Palmeiras,3-2,Mauricio Simões,Tite,2006,25,3,2
Atlético Paranaense,São Caetano,3-1,Vadão,Hélio dos Anjos,2006,26,3,1
Fluminense RJ,Fortaleza,1-3,Antônio Lopes,Daniel Frasson,2006,26,1,3
Santa Cruz FC,Juventude RS,1-0,Mauricio Simões,Ivo Wortmann,2006,26,1,0
Figueirense,Paraná Clube,0-1,Waldemar Lemos,Caio Júnior,2006,26,0,1
SE Palmeiras,São Paulo FC,3-1,Jair Picerni,Muricy Ramalho,2006,26,3,1
Santos FC,Flamengo RJ,3-0,Vanderlei Luxemburgo,Ney Franco,2006,26,3,0
Internacional,Corinthians SP,1-1,Abel Braga,Émerson Leão,2006,26,1,1
Ponte Preta,Cruzeiro EC,0-1,Marco Aurélio,Oswaldo de Oliveira,2006,26,0,1
Vasco da Gama,Botafogo RJ,0-0,Renato Gaúcho,Cuca,2006,26,0,0
Goiás EC,Grêmio Porto Alegre,4-0,Geninho,Mano Menezes,2006,26,4,0
Fortaleza,Figueirense,1-1,Daniel Frasson,Waldemar Lemos,2006,27,1,1
Paraná Clube,Ponte Preta,2-1,Caio Júnior,Marco Aurélio,2006,27,2,1
Juventude RS,Atlético Paranaense,3-2,Ivo Wortmann,Vadão,2006,27,3,2
Flamengo RJ,Fluminense RJ,4-1,Ney Franco,Gusmão,2006,27,4,1
São Caetano,Goiás EC,1-2,Hélio dos Anjos,Geninho,2006,27,1,2
São Paulo FC,Vasco da Gama,5-1,Muricy Ramalho,Renato Gaúcho,2006,27,5,1
Grêmio Porto Alegre,SE Palmeiras,2-1,Mano Menezes,Jair Picerni,2006,27,2,1
Cruzeiro EC,Internacional,2-1,Oswaldo de Oliveira,Abel Braga,2006,27,2,1
Corinthians SP,Santos FC,0-3,Émerson Leão,Vanderlei Luxemburgo,2006,27,0,3
Botafogo RJ,Santa Cruz FC,3-0,Cuca,Mauricio Simões,2006,27,3,0
Ponte Preta,Juventude RS,3-1,Vanderlei Paiva,Ivo Wortmann,2006,28,3,1
Vasco da Gama,Fortaleza,2-0,Renato Gaúcho,Daniel Frasson,2006,28,2,0
Fluminense RJ,São Paulo FC,1-2,Gusmão,Muricy Ramalho,2006,28,1,2
Atlético Paranaense,Cruzeiro EC,1-1,Vadão,Oswaldo de Oliveira,2006,28,1,1
Internacional,São Caetano,1-0,Abel Braga,Hélio dos Anjos,2006,28,1,0
SE Palmeiras,Flamengo RJ,3-1,Jair Picerni,Ney Franco,2006,28,3,1
Santa Cruz FC,Paraná Clube,1-3,Mauricio Simões,Caio Júnior,2006,28,1,3
Goiás EC,Corinthians SP,3-1,Geninho,Émerson Leão,2006,28,3,1
Santos FC,Grêmio Porto Alegre,1-0,Vanderlei Luxemburgo,Mano Menezes,2006,28,1,0
Figueirense,Botafogo RJ,1-0,Waldemar Lemos,Cuca,2006,28,1,0
Cruzeiro EC,Fortaleza,0-0,Oswaldo de Oliveira,Daniel Frasson,2006,29,0,0
São Caetano,Grêmio Porto Alegre,0-2,Hélio dos Anjos,Mano Menezes,2006,29,0,2
São Paulo FC,Juventude RS,5-0,Muricy Ramalho,Ivo Wortmann,2006,29,5,0
Botafogo RJ,Santos FC,4-3,Cuca,Vanderlei Luxemburgo,2006,29,4,3
Internacional,Fluminense RJ,2-0,Abel Braga,Gusmão,2006,29,2,0
Flamengo RJ,Corinthians SP,3-0,Ney Franco,Émerson Leão,2006,29,3,0
Figueirense,Ponte Preta,2-1,Waldemar Lemos,Vanderlei Paiva,2006,29,2,1
Paraná Clube,Goiás EC,1-0,Caio Júnior,Geninho,2006,29,1,0
SE Palmeiras,Atlético Paranaense,2-2,Jair Picerni,Vadão,2006,29,2,2
Santa Cruz FC,Vasco da Gama,0-4,Mauricio Simões,Renato Gaúcho,2006,29,0,4
Vasco da Gama,SE Palmeiras,3-0,Renato Gaúcho,Jair Picerni,2006,30,3,0
Goiás EC,Santa Cruz FC,5-3,Geninho,Mauricio Simões,2006,30,5,3
Ponte Preta,Internacional,0-2,Vanderlei Paiva,Abel Braga,2006,30,0,2
Santos FC,Figueirense,2-1,Vanderlei Luxemburgo,Waldemar Lemos,2006,30,2,1
Fortaleza,Atlético Paranaense,3-4,Daniel Frasson,Vadão,2006,30,3,4
Grêmio Porto Alegre,São Paulo FC,1-1,Mano Menezes,Muricy Ramalho,2006,30,1,1
Paraná Clube,Flamengo RJ,0-2,Caio Júnior,Ney Franco,2006,30,0,2
Juventude RS,Fluminense RJ,1-1,Ivo Wortmann,Gusmão,2006,30,1,1
Botafogo RJ,São Caetano,2-1,Cuca,Dorival Júnior,2006,30,2,1
Corinthians SP,Cruzeiro EC,1-0,Émerson Leão,Oswaldo de Oliveira,2006,30,1,0
Corinthians SP,SE Palmeiras,1-0,Émerson Leão,Jair Picerni,2006,31,1,0
Fluminense RJ,Grêmio Porto Alegre,1-2,Gusmão,Mano Menezes,2006,31,1,2
Vasco da Gama,Flamengo RJ,3-1,Renato Gaúcho,Ney Franco,2006,31,3,1
Internacional,Juventude RS,1-0,Abel Braga,Ivo Wortmann,2006,31,1,0
Santa Cruz FC,Fortaleza,0-1,Mauricio Simões,Daniel Frasson,2006,31,0,1
Ponte Preta,Botafogo RJ,1-2,Vanderlei Paiva,Cuca,2006,31,1,2
Figueirense,São Paulo FC,0-2,Waldemar Lemos,Muricy Ramalho,2006,31,0,2
Atlético Paranaense,Paraná Clube,4-0,Vadão,Caio Júnior,2006,31,4,0
Santos FC,São Caetano,1-0,Vanderlei Luxemburgo,Dorival Júnior,2006,31,1,0
Goiás EC,Cruzeiro EC,2-3,Geninho,Oswaldo de Oliveira,2006,31,2,3
Atlético Paranaense,Vasco da Gama,6-4,Vadão,Renato Gaúcho,2006,32,6,4
Flamengo RJ,Santa Cruz FC,1-1,Ney Franco,Mauricio Simões,2006,32,1,1
SE Palmeiras,Goiás EC,1-3,Jair Picerni,Geninho,2006,32,1,3
Grêmio Porto Alegre,Figueirense,1-2,Mano Menezes,Waldemar Lemos,2006,32,1,2
Fortaleza,Corinthians SP,0-4,Daniel Frasson,Émerson Leão,2006,32,0,4
São Caetano,Fluminense RJ,1-1,Dorival Júnior,Gusmão,2006,32,1,1
Juventude RS,Santos FC,3-2,Ivo Wortmann,Vanderlei Luxemburgo,2006,32,3,2
Cruzeiro EC,Paraná Clube,2-2,Oswaldo de Oliveira,Caio Júnior,2006,32,2,2
São Paulo FC,Ponte Preta,1-1,Muricy Ramalho,Vanderlei Paiva,2006,32,1,1
Botafogo RJ,Internacional,0-1,Cuca,Abel Braga,2006,32,0,1
Figueirense,Juventude RS,1-0,Waldemar Lemos,Ivo Wortmann,2006,33,1,0
Flamengo RJ,Atlético Paranaense,1-0,Ney Franco,Vadão,2006,33,1,0
Ponte Preta,São Caetano,1-2,Vanderlei Paiva,Dorival Júnior,2006,33,1,2
Cruzeiro EC,Vasco da Gama,2-1,Oswaldo de Oliveira,Renato Gaúcho,2006,33,2,1
Santos FC,São Paulo FC,0-1,Vanderlei Luxemburgo,Muricy Ramalho,2006,33,0,1
Grêmio Porto Alegre,Internacional,0-1,Mano Menezes,Abel Braga,2006,33,0,1
Fortaleza,Goiás EC,0-3,Daniel Frasson,Geninho,2006,33,0,3
Paraná Clube,SE Palmeiras,4-2,Caio Júnior,Jair Picerni,2006,33,4,2
Corinthians SP,Santa Cruz FC,1-0,Émerson Leão,Mauricio Simões,2006,33,1,0
Botafogo RJ,Fluminense RJ,2-1,Cuca,Gusmão,2006,33,2,1
Juventude RS,Grêmio Porto Alegre,1-2,Ivo Wortmann,Mano Menezes,2006,34,1,2
São Caetano,Figueirense,3-1,Dorival Júnior,Waldemar Lemos,2006,34,3,1
Vasco da Gama,Paraná Clube,3-1,Renato Gaúcho,Caio Júnior,2006,34,3,1
SE Palmeiras,Fortaleza,3-0,Jair Picerni,Daniel Frasson,2006,34,3,0
Goiás EC,Flamengo RJ,0-1,Geninho,Ney Franco,2006,34,0,1
Atlético Paranaense,Corinthians SP,1-2,Vadão,Émerson Leão,2006,34,1,2
Internacional,Santos FC,0-0,Abel Braga,Vanderlei Luxemburgo,2006,34,0,0
São Paulo FC,Botafogo RJ,3-0,Muricy Ramalho,Cuca,2006,34,3,0
Fluminense RJ,Ponte Preta,0-0,Gusmão,Vanderlei Paiva,2006,34,0,0
Santa Cruz FC,Cruzeiro EC,4-1,Mauricio Simões,Oswaldo de Oliveira,2006,34,4,1
Vasco da Gama,Juventude RS,1-1,Renato Gaúcho,Ivo Wortmann,2006,35,1,1
Internacional,Fortaleza,3-0,Abel Braga,Daniel Frasson,2006,35,3,0
Santos FC,Paraná Clube,1-0,Vanderlei Luxemburgo,Caio Júnior,2006,35,1,0
Ponte Preta,Flamengo RJ,3-0,Vanderlei Paiva,Ney Franco,2006,35,3,0
Figueirense,Corinthians SP,0-0,Waldemar Lemos,Émerson Leão,2006,35,0,0
Fluminense RJ,Cruzeiro EC,1-0,Gusmão,Oswaldo de Oliveira,2006,35,1,0
Goiás EC,São Paulo FC,0-2,Geninho,Muricy Ramalho,2006,35,0,2
Santa Cruz FC,São Caetano,0-3,Mauricio Simões,Dorival Júnior,2006,35,0,3
SE Palmeiras,Botafogo RJ,2-1,Jair Picerni,Cuca,2006,35,2,1
Atlético Paranaense,Grêmio Porto Alegre,2-3,Vadão,Mano Menezes,2006,35,2,3
Grêmio Porto Alegre,Santa Cruz FC,3-1,Mano Menezes,Mauricio Simões,2006,36,3,1
Flamengo RJ,Figueirense,0-2,Ney Franco,Waldemar Lemos,2006,36,0,2
Corinthians SP,Fluminense RJ,1-1,Émerson Leão,Gusmão,2006,36,1,1
São Caetano,Vasco da Gama,0-1,Dorival Júnior,Renato Gaúcho,2006,36,0,1
Paraná Clube,Internacional,1-0,Caio Júnior,Abel Braga,2006,36,1,0
São Paulo FC,Atlético Paranaense,1-1,Muricy Ramalho,Vadão,2006,36,1,1
Juventude RS,SE Palmeiras,3-2,Ivo Wortmann,Jair Picerni,2006,36,3,2
Fortaleza,Ponte Preta,1-0,Daniel Frasson,Vanderlei Paiva,2006,36,1,0
Botafogo RJ,Goiás EC,2-2,Cuca,Geninho,2006,36,2,2
Cruzeiro EC,Santos FC,1-1,Oswaldo de Oliveira,Vanderlei Luxemburgo,2006,36,1,1
Goiás EC,Ponte Preta,3-0,Geninho,Vanderlei Paiva,2006,37,3,0
Grêmio Porto Alegre,Flamengo RJ,3-0,Mano Menezes,Ney Franco,2006,37,3,0
Santa Cruz FC,Fluminense RJ,1-2,Mauricio Simões,Gusmão,2006,37,1,2
Vasco da Gama,Santos FC,1-1,Renato Gaúcho,Vanderlei Luxemburgo,2006,37,1,1
São Paulo FC,Cruzeiro EC,2-0,Muricy Ramalho,Oswaldo de Oliveira,2006,37,2,0
