team_1,team_2,score,manager_1,manager_2,season,game_week,team_1_score,team_2_score
Ipatinga FC,Vasco da Gama,3-1,Márcio Bittencourt,Renato Gaúcho,2008,27,3,1
São Paulo FC,Cruzeiro EC,2-0,Muricy Ramalho,Adilson Batista,2008,27,2,0
Botafogo RJ,Fluminense RJ,1-1,Ney Franco,Cuca,2008,27,1,1
Internacional,Grêmio Porto Alegre,4-1,Tite,Celso Roth,2008,27,4,1
Santos FC,Portuguesa (SP),1-1,Márcio Fernandes,Estevam Soares,2008,27,1,1
Fluminense RJ,Goiás EC,1-1,Cuca,Hélio dos Anjos,2008,28,1,1
EC Vitória BA,Portuguesa (SP),3-1,Vágner Mancini,Estevam Soares,2008,28,3,1
Cruzeiro EC,Sport Club Recife,1-0,Adilson Batista,Nelsinho Baptista,2008,28,1,0
Grêmio Porto Alegre,Botafogo RJ,2-1,Celso Roth,Ney Franco,2008,28,2,1
Ipatinga FC,São Paulo FC,1-3,Márcio Bittencourt,Muricy Ramalho,2008,28,1,3
SE Palmeiras,Atlético Mineiro,3-1,Vanderlei Luxemburgo,???,2008,28,3,1
Santos FC,Atlético Paranaense,4-0,Márcio Fernandes,Geninho,2008,28,4,0
Coritiba FC,Internacional,4-2,Dorival Júnior,Tite,2008,28,4,2
Clube Náutico,Flamengo RJ,0-2,Roberto Fernandes,Caio Júnior,2008,28,0,2
Vasco da Gama,Figueirense,2-4,Renato Gaúcho,???,2008,28,2,4
Grêmio Porto Alegre,Santos FC,2-0,Celso Roth,Márcio Fernandes,2008,29,2,0
Sport Club Recife,Vasco da Gama,2-2,Nelsinho Baptista,Renato Gaúcho,2008,29,2,2
Figueirense,SE Palmeiras,0-0,???,Vanderlei Luxemburgo,2008,29,0,0
Botafogo RJ,EC Vitória BA,3-1,Ney Franco,Vágner Mancini,2008,29,3,1
Cruzeiro EC,Ipatinga FC,1-0,Adilson Batista,Márcio Bittencourt,2008,29,1,0
São Paulo FC,Clube Náutico,1-0,Muricy Ramalho,Roberto Fernandes,2008,29,1,0
Goiás EC,Internacional,1-1,Hélio dos Anjos,Tite,2008,29,1,1
Portuguesa (SP),Coritiba FC,0-0,Estevam Soares,Dorival Júnior,2008,29,0,0
Atlético Paranaense,Fluminense RJ,1-3,Geninho,René Simões,2008,29,1,3
Flamengo RJ,Atlético Mineiro,0-3,Caio Júnior,???,2008,29,0,3
Botafogo RJ,Santos FC,0-1,Ney Franco,Márcio Fernandes,2008,30,0,1
Internacional,Atlético Paranaense,2-1,Tite,Geninho,2008,30,2,1
Figueirense,Ipatinga FC,1-1,???,Márcio Bittencourt,2008,30,1,1
EC Vitória BA,Fluminense RJ,2-2,Vágner Mancini,René Simões,2008,30,2,2
Coritiba FC,Goiás EC,1-1,Dorival Júnior,Hélio dos Anjos,2008,30,1,1
Atlético Mineiro,Cruzeiro EC,0-2,???,Adilson Batista,2008,30,0,2
SE Palmeiras,São Paulo FC,2-2,Vanderlei Luxemburgo,Muricy Ramalho,2008,30,2,2
Portuguesa (SP),Grêmio Porto Alegre,2-0,Estevam Soares,Celso Roth,2008,30,2,0
Sport Club Recife,Clube Náutico,2-2,Nelsinho Baptista,Roberto Fernandes,2008,30,2,2
Vasco da Gama,Flamengo RJ,0-1,Renato Gaúcho,Caio Júnior,2008,30,0,1
Goiás EC,Vasco da Gama,2-4,Hélio dos Anjos,Renato Gaúcho,2008,31,2,4
Grêmio Porto Alegre,Sport Club Recife,1-0,Celso Roth,Nelsinho Baptista,2008,31,1,0
Flamengo RJ,Coritiba FC,5-0,Caio Júnior,Dorival Júnior,2008,31,5,0
São Paulo FC,EC Vitória BA,2-1,Muricy Ramalho,Vágner Mancini,2008,31,2,1
Fluminense RJ,SE Palmeiras,3-0,René Simões,Vanderlei Luxemburgo,2008,31,3,0
Ipatinga FC,Botafogo RJ,0-3,Márcio Bittencourt,Ney Franco,2008,31,0,3
Santos FC,Figueirense,3-0,Márcio Fernandes,???,2008,31,3,0
Atlético Paranaense,Cruzeiro EC,1-0,Geninho,Adilson Batista,2008,31,1,0
Clube Náutico,Portuguesa (SP),1-1,Roberto Fernandes,Estevam Soares,2008,31,1,1
Atlético Mineiro,Internacional,2-2,???,Tite,2008,31,2,2
Portuguesa (SP),Ipatinga FC,2-0,Estevam Soares,Enderson Moreira,2008,32,2,0
Coritiba FC,Atlético Mineiro,2-1,Dorival Júnior,???,2008,32,2,1
Internacional,Clube Náutico,1-1,Tite,Roberto Fernandes,2008,32,1,1
SE Palmeiras,Goiás EC,1-0,Vanderlei Luxemburgo,Hélio dos Anjos,2008,32,1,0
Botafogo RJ,São Paulo FC,1-2,Ney Franco,Muricy Ramalho,2008,32,1,2
EC Vitória BA,Flamengo RJ,0-0,Vágner Mancini,Caio Júnior,2008,32,0,0
Cruzeiro EC,Grêmio Porto Alegre,3-0,Adilson Batista,Celso Roth,2008,32,3,0
Sport Club Recife,Santos FC,1-1,Nelsinho Baptista,Márcio Fernandes,2008,32,1,1
Vasco da Gama,Atlético Paranaense,2-2,Renato Gaúcho,Geninho,2008,32,2,2
Figueirense,Fluminense RJ,0-1,???,René Simões,2008,32,0,1
Flamengo RJ,Portuguesa (SP),2-2,Caio Júnior,Estevam Soares,2008,33,2,2
Clube Náutico,EC Vitória BA,1-0,Roberto Fernandes,Vágner Mancini,2008,33,1,0
Ipatinga FC,Coritiba FC,2-0,Enderson Moreira,Dorival Júnior,2008,33,2,0
Goiás EC,Cruzeiro EC,3-0,Hélio dos Anjos,Adilson Batista,2008,33,3,0
Santos FC,SE Palmeiras,1-2,Márcio Fernandes,Vanderlei Luxemburgo,2008,33,1,2
Atlético Paranaense,Sport Club Recife,1-0,Geninho,Nelsinho Baptista,2008,33,1,0
Atlético Mineiro,Botafogo RJ,2-1,???,Ney Franco,2008,33,2,1
Fluminense RJ,Vasco da Gama,0-1,René Simões,Renato Gaúcho,2008,33,0,1
Grêmio Porto Alegre,Figueirense,1-1,Celso Roth,???,2008,33,1,1
São Paulo FC,Internacional,3-0,Muricy Ramalho,Tite,2008,33,3,0
Portuguesa (SP),São Paulo FC,2-3,Estevam Soares,Muricy Ramalho,2008,34,2,3
Vasco da Gama,Santos FC,1-0,Renato Gaúcho,Márcio Fernandes,2008,34,1,0
Figueirense,Atlético Paranaense,0-2,???,Geninho,2008,34,0,2
Coritiba FC,Clube Náutico,0-0,Dorival Júnior,Roberto Fernandes,2008,34,0,0
Sport Club Recife,Goiás EC,2-1,Nelsinho Baptista,Hélio dos Anjos,2008,34,2,1
Cruzeiro EC,Fluminense RJ,1-0,Adilson Batista,René Simões,2008,34,1,0
SE Palmeiras,Grêmio Porto Alegre,0-1,Vanderlei Luxemburgo,Celso Roth,2008,34,0,1
Botafogo RJ,Flamengo RJ,0-1,Ney Franco,Caio Júnior,2008,34,0,1
Internacional,Ipatinga FC,4-0,Tite,Enderson Moreira,2008,34,4,0
EC Vitória BA,Atlético Mineiro,0-1,Vágner Mancini,???,2008,34,0,1
Atlético Mineiro,Vasco da Gama,4-1,???,Renato Gaúcho,2008,35,4,1
Fluminense RJ,Portuguesa (SP),3-1,René Simões,Estevam Soares,2008,35,3,1
Clube Náutico,Cruzeiro EC,5-2,Roberto Fernandes,Adilson Batista,2008,35,5,2
Ipatinga FC,Sport Club Recife,3-0,Enderson Moreira,Nelsinho Baptista,2008,35,3,0
Goiás EC,Botafogo RJ,3-1,Hélio dos Anjos,Ney Franco,2008,35,3,1
Flamengo RJ,SE Palmeiras,5-2,Caio Júnior,Vanderlei Luxemburgo,2008,35,5,2
São Paulo FC,Figueirense,3-1,Muricy Ramalho,???,2008,35,3,1
Grêmio Porto Alegre,Coritiba FC,2-1,Celso Roth,Dorival Júnior,2008,35,2,1
Santos FC,Internacional,1-0,Márcio Fernandes,Tite,2008,35,1,0
Atlético Paranaense,EC Vitória BA,2-1,Geninho,Vágner Mancini,2008,35,2,1
Figueirense,Clube Náutico,4-3,Pintado,Roberto Fernandes,2008,36,4,3
Botafogo RJ,Atlético Paranaense,2-2,Ney Franco,Geninho,2008,36,2,2
Portuguesa (SP),Goiás EC,0-0,Estevam Soares,Hélio dos Anjos,2008,36,0,0
Coritiba FC,Santos FC,5-1,Dorival Júnior,Márcio Fernandes,2008,36,5,1
EC Vitória BA,Grêmio Porto Alegre,4-2,Vágner Mancini,Celso Roth,2008,36,4,2
Vasco da Gama,São Paulo FC,1-2,Renato Gaúcho,Muricy Ramalho,2008,36,1,2
Cruzeiro EC,Flamengo RJ,3-2,Adilson Batista,Caio Júnior,2008,36,3,2
Internacional,Fluminense RJ,0-2,Tite,René Simões,2008,36,0,2
Sport Club Recife,Atlético Mineiro,3-0,Nelsinho Baptista,???,2008,36,3,0
SE Palmeiras,Ipatinga FC,2-0,Vanderlei Luxemburgo,Enderson Moreira,2008,36,2,0
Botafogo RJ,Figueirense,1-3,Ney Franco,Pintado,2008,37,1,3
Internacional,Cruzeiro EC,1-0,Tite,Adilson Batista,2008,37,1,0
EC Vitória BA,SE Palmeiras,0-0,Vágner Mancini,Vanderlei Luxemburgo,2008,37,0,0
Portuguesa (SP),Sport Club Recife,2-2,Estevam Soares,Nelsinho Baptista,2008,37,2,2
Coritiba FC,Vasco da Gama,0-2,Dorival Júnior,Renato Gaúcho,2008,37,0,2
Clube Náutico,Atlético Paranaense,2-1,Roberto Fernandes,Geninho,2008,37,2,1
Flamengo RJ,Goiás EC,3-3,Caio Júnior,Hélio dos Anjos,2008,37,3,3
Ipatinga FC,Grêmio Porto Alegre,1-4,Enderson Moreira,Celso Roth,2008,37,1,4
Atlético Mineiro,Santos FC,0-0,???,Márcio Fernandes,2008,37,0,0
São Paulo FC,Fluminense RJ,1-1,Muricy Ramalho,René Simões,2008,37,1,1
Fluminense RJ,Ipatinga FC,1-1,René Simões,Enderson Moreira,2008,38,1,1
Grêmio Porto Alegre,Atlético Mineiro,2-0,Celso Roth,???,2008,38,2,0
Goiás EC,São Paulo FC,0-1,Hélio dos Anjos,Muricy Ramalho,2008,38,0,1
Santos FC,Clube Náutico,0-0,Márcio Fernandes,Roberto Fernandes,2008,38,0,0
Atlético Paranaense,Flamengo RJ,5-3,Geninho,Caio Júnior,2008,38,5,3
Sport Club Recife,Coritiba FC,4-3,Nelsinho Baptista,Dorival Júnior,2008,38,4,3
Vasco da Gama,EC Vitória BA,0-2,Renato Gaúcho,Vágner Mancini,2008,38,0,2
Figueirense,Internacional,3-1,Pintado,Tite,2008,38,3,1
Cruzeiro EC,Portuguesa (SP),4-1,Adilson Batista,Estevam Soares,2008,38,4,1
SE Palmeiras,Botafogo RJ,0-1,Vanderlei Luxemburgo,Ney Franco,2008,38,0,1
SE Palmeiras,Coritiba FC,2-1,Vanderlei Luxemburgo,René Simões,2009,1,2,1
Sport Club Recife,Grêmio Barueri,1-1,Nelsinho Baptista,Estevam Soares,2009,1,1,1
Avaí FC,Atlético Mineiro,2-2,Paulo Silas,Celso Roth,2009,1,2,2
Corinthians SP,Internacional,0-1,Mano Menezes,Tite,2009,1,0,1
Atlético Paranaense,EC Vitória BA,0-2,Geninho,Paulo César Carpegiani,2009,1,0,2
Fluminense RJ,São Paulo FC,1-0,Carlos Alberto Parreira,Muricy Ramalho,2009,1,1,0
Cruzeiro EC,Flamengo RJ,2-0,Adilson Batista,Cuca,2009,1,2,0
Santo André EC,Botafogo RJ,1-1,Sérgio Guedes,Ney Franco,2009,1,1,1
Grêmio Porto Alegre,Santos FC,1-1,Marcelo Rospide,Vágner Mancini,2009,1,1,1
Goiás EC,Clube Náutico,3-3,Hélio dos Anjos,Waldemar Lemos,2009,1,3,3
Coritiba FC,Santo André EC,2-4,René Simões,Sérgio Guedes,2009,2,2,4
Flamengo RJ,Avaí FC,0-0,Cuca,Paulo Silas,2009,2,0,0
Atlético Mineiro,Grêmio Porto Alegre,2-1,Celso Roth,Paulo Autuori,2009,2,2,1
São Paulo FC,Atlético Paranaense,2-2,Muricy Ramalho,Geninho,2009,2,2,2
Santos FC,Goiás EC,3-3,Vágner Mancini,Hélio dos Anjos,2009,2,3,3
Grêmio Barueri,Fluminense RJ,0-0,Estevam Soares,Carlos Alberto Parreira,2009,2,0,0
Internacional,SE Palmeiras,2-0,Tite,Vanderlei Luxemburgo,2009,2,2,0
EC Vitória BA,Sport Club Recife,1-0,Paulo César Carpegiani,Nelsinho Baptista,2009,2,1,0
Clube Náutico,Cruzeiro EC,2-0,Waldemar Lemos,Adilson Batista,2009,2,2,0
Botafogo RJ,Corinthians SP,0-0,Ney Franco,Mano Menezes,2009,2,0,0
Corinthians SP,Grêmio Barueri,2-1,Mano Menezes,Estevam Soares,2009,3,2,1
Goiás EC,Internacional,0-1,Hélio dos Anjos,Tite,2009,3,0,1
Cruzeiro EC,EC Vitória BA,2-0,Adilson Batista,Paulo César Carpegiani,2009,3,2,0
SE Palmeiras,São Paulo FC,0-0,Vanderlei Luxemburgo,Muricy Ramalho,2009,3,0,0
Atlético Paranaense,Clube Náutico,2-3,Geninho,Waldemar Lemos,2009,3,2,3
Grêmio Porto Alegre,Botafogo RJ,2-0,Paulo Autuori,Ney Franco,2009,3,2,0
Fluminense RJ,Santos FC,1-4,Carlos Alberto Parreira,Vágner Mancini,2009,3,1,4
Santo André EC,Flamengo RJ,1-2,Sérgio Guedes,Cuca,2009,3,1,2
Sport Club Recife,Atlético Mineiro,2-3,Nelsinho Baptista,Celso Roth,2009,3,2,3
Avaí FC,Coritiba FC,2-2,Paulo Silas,René Simões,2009,3,2,2
Coritiba FC,Goiás EC,1-3,René Simões,Hélio dos Anjos,2009,4,1,3
Atlético Mineiro,Santo André EC,0-0,Celso Roth,Sérgio Guedes,2009,4,0,0
Botafogo RJ,Sport Club Recife,2-2,Ney Franco,???,2009,4,2,2
São Paulo FC,Cruzeiro EC,3-0,Muricy Ramalho,Adilson Batista,2009,4,3,0
Santos FC,Corinthians SP,3-1,Vágner Mancini,Mano Menezes,2009,4,3,1
Flamengo RJ,Atlético Paranaense,2-1,Cuca,Geninho,2009,4,2,1
EC Vitória BA,Grêmio Porto Alegre,1-0,Paulo César Carpegiani,Paulo Autuori,2009,4,1,0
Clube Náutico,Fluminense RJ,1-1,Waldemar Lemos,Carlos Alberto Parreira,2009,4,1,1
Grêmio Barueri,SE Palmeiras,2-2,Estevam Soares,Vanderlei Luxemburgo,2009,4,2,2
Internacional,Avaí FC,2-1,Tite,Paulo Silas,2009,4,2,1
Santo André EC,Santos FC,3-3,Sérgio Guedes,Vágner Mancini,2009,5,3,3
Grêmio Porto Alegre,Clube Náutico,3-0,Paulo Autuori,Waldemar Lemos,2009,5,3,0
Corinthians SP,Coritiba FC,2-0,Mano Menezes,René Simões,2009,5,2,0
SE Palmeiras,EC Vitória BA,2-1,Vanderlei Luxemburgo,Paulo César Carpegiani,2009,5,2,1
Atlético Paranaense,Atlético Mineiro,0-4,Geninho,Celso Roth,2009,5,0,4
Sport Club Recife,Flamengo RJ,4-2,Émerson Leão,Cuca,2009,5,4,2
Avaí FC,São Paulo FC,0-0,Paulo Silas,Muricy Ramalho,2009,5,0,0
Fluminense RJ,Botafogo RJ,1-0,Carlos Alberto Parreira,Ney Franco,2009,5,1,0
Goiás EC,Grêmio Barueri,2-2,Hélio dos Anjos,Estevam Soares,2009,5,2,2
Cruzeiro EC,Internacional,1-1,Adilson Batista,Tite,2009,5,1,1
São Paulo FC,Santo André EC,1-1,Muricy Ramalho,Sérgio Guedes,2009,6,1,1
Sport Club Recife,Atlético Paranaense,0-1,Émerson Leão,Waldemar Lemos,2009,6,0,1
Botafogo RJ,Santos FC,2-0,Ney Franco,Vágner Mancini,2009,6,2,0
Coritiba FC,Flamengo RJ,5-0,René Simões,Cuca,2009,6,5,0
Fluminense RJ,Grêmio Porto Alegre,0-0,Carlos Alberto Parreira,Paulo Autuori,2009,6,0,0
Goiás EC,Corinthians SP,0-0,Hélio dos Anjos,Mano Menezes,2009,6,0,0
Atlético Mineiro,Clube Náutico,3-0,Celso Roth,Márcio Bittencourt,2009,6,3,0
SE Palmeiras,Cruzeiro EC,3-1,Vanderlei Luxemburgo,Adilson Batista,2009,6,3,1
Grêmio Barueri,Avaí FC,3-1,Estevam Soares,Paulo Silas,2009,6,3,1
Internacional,EC Vitória BA,0-0,Tite,Paulo César Carpegiani,2009,6,0,0
Santo André EC,Sport Club Recife,2-1,Sérgio Guedes,Émerson Leão,2009,7,2,1
Atlético Paranaense,SE Palmeiras,2-2,Waldemar Lemos,Vanderlei Luxemburgo,2009,7,2,2
EC Vitória BA,Botafogo RJ,4-3,Paulo César Carpegiani,Ney Franco,2009,7,4,3
Grêmio Porto Alegre,Goiás EC,2-2,Paulo Autuori,Hélio dos Anjos,2009,7,2,2
Clube Náutico,Coritiba FC,0-1,Márcio Bittencourt,René Simões,2009,7,0,1
Avaí FC,Fluminense RJ,3-2,Paulo Silas,Carlos Alberto Parreira,2009,7,3,2
Corinthians SP,São Paulo FC,3-1,Mano Menezes,Ricardo Gomes,2009,7,3,1
Santos FC,Atlético Mineiro,2-3,Vágner Mancini,Celso Roth,2009,7,2,3
Flamengo RJ,Internacional,4-0,Cuca,Tite,2009,7,4,0
Cruzeiro EC,Grêmio Barueri,2-4,Adilson Batista,Estevam Soares,2009,7,2,4
São Paulo FC,Clube Náutico,2-0,Ricardo Gomes,Márcio Bittencourt,2009,8,2,0
Grêmio Barueri,Atlético Mineiro,4-2,Estevam Soares,Celso Roth,2009,8,4,2
Atlético Paranaense,Corinthians SP,1-0,Waldemar Lemos,Mano Menezes,2009,8,1,0
Cruzeiro EC,Avaí FC,1-0,Adilson Batista,Paulo Silas,2009,8,1,0
Botafogo RJ,Goiás EC,1-4,Ney Franco,Hélio dos Anjos,2009,8,1,4
SE Palmeiras,Santos FC,1-1,Jorginho,Vágner Mancini,2009,8,1,1
Internacional,Coritiba FC,3-0,Tite,René Simões,2009,8,3,0
Fluminense RJ,Flamengo RJ,0-0,Carlos Alberto Parreira,Cuca,2009,8,0,0
EC Vitória BA,Santo André EC,4-1,Paulo César Carpegiani,Sérgio Guedes,2009,8,4,1
Sport Club Recife,Grêmio Porto Alegre,3-1,Émerson Leão,Paulo Autuori,2009,8,3,1
Santos FC,Sport Club Recife,1-0,Vágner Mancini,Émerson Leão,2009,9,1,0
Santo André EC,Grêmio Barueri,1-1,Sérgio Guedes,Estevam Soares,2009,9,1,1
Flamengo RJ,EC Vitória BA,2-1,Cuca,Paulo César Carpegiani,2009,9,2,1
Coritiba FC,São Paulo FC,2-0,René Simões,Ricardo Gomes,2009,9,2,0
Grêmio Porto Alegre,Atlético Paranaense,4-1,Paulo Autuori,Waldemar Lemos,2009,9,4,1
Goiás EC,Cruzeiro EC,1-0,Hélio dos Anjos,Adilson Batista,2009,9,1,0
Atlético Mineiro,Botafogo RJ,1-1,Celso Roth,Ney Franco,2009,9,1,1
Clube Náutico,Internacional,0-2,Márcio Bittencourt,Tite,2009,9,0,2
Avaí FC,SE Palmeiras,0-3,Paulo Silas,Jorginho,2009,9,0,3
Corinthians SP,Fluminense RJ,4-2,Mano Menezes,Carlos Alberto Parreira,2009,9,4,2
SE Palmeiras,Clube Náutico,4-1,Jorginho,Márcio Bittencourt,2009,10,4,1
Grêmio Barueri,Coritiba FC,3-1,Estevam Soares,René Simões,2009,10,3,1
Avaí FC,Botafogo RJ,1-2,Paulo Silas,Ney Franco,2009,10,1,2
São Paulo FC,Flamengo RJ,2-2,Ricardo Gomes,Cuca,2009,10,2,2
Atlético Paranaense,Internacional,3-2,Waldemar Lemos,Tite,2009,10,3,2
Grêmio Porto Alegre,Corinthians SP,3-0,Paulo Autuori,Mano Menezes,2009,10,3,0
Cruzeiro EC,Atlético Mineiro,0-3,Adilson Batista,Celso Roth,2009,10,0,3
Fluminense RJ,Santo André EC,0-1,Carlos Alberto Parreira,Sérgio Guedes,2009,10,0,1
EC Vitória BA,Santos FC,6-2,Paulo César Carpegiani,Vágner Mancini,2009,10,6,2
Sport Club Recife,Goiás EC,1-0,Émerson Leão,Hélio dos Anjos,2009,10,1,0
Coritiba FC,Grêmio Porto Alegre,2-1,René Simões,Paulo Autuori,2009,11,2,1
Goiás EC,Avaí FC,0-2,Hélio dos Anjos,Paulo Silas,2009,11,0,2
Santos FC,Grêmio Barueri,3-3,Serginho Chulapa,Estevam Soares,2009,11,3,3
Santo André EC,Atlético Paranaense,1-0,Sérgio Guedes,Waldemar Lemos,2009,11,1,0
Internacional,Fluminense RJ,4-2,Tite,Vinícius Eutrópio,2009,11,4,2
Flamengo RJ,SE Palmeiras,1-2,Cuca,Jorginho,2009,11,1,2
Corinthians SP,Sport Club Recife,4-3,Mano Menezes,Émerson Leão,2009,11,4,3
Clube Náutico,EC Vitória BA,1-1,Geninho,Paulo César Carpegiani,2009,11,1,1
Atlético Mineiro,São Paulo FC,2-0,Celso Roth,Ricardo Gomes,2009,11,2,0
Botafogo RJ,Cruzeiro EC,1-1,Estevam Soares,Adilson Batista,2009,11,1,1
SE Palmeiras,Santo André EC,1-0,Jorginho,Sérgio Guedes,2009,12,1,0
Fluminense RJ,Goiás EC,1-4,Vinícius Eutrópio,Hélio dos Anjos,2009,12,1,4
São Paulo FC,Santos FC,2-1,Ricardo Gomes,Vanderlei Luxemburgo,2009,12,2,1
Atlético Paranaense,Coritiba FC,0-0,Waldemar Lemos,René Simões,2009,12,0,0
Grêmio Porto Alegre,Internacional,2-1,Paulo Autuori,Tite,2009,12,2,1
EC Vitória BA,Atlético Mineiro,0-0,Paulo César Carpegiani,Celso Roth,2009,12,0,0
Cruzeiro EC,Corinthians SP,1-2,Adilson Batista,Mano Menezes,2009,12,1,2
Grêmio Barueri,Clube Náutico,4-0,Estevam Soares,Geninho,2009,12,4,0
Sport Club Recife,Avaí FC,1-3,Émerson Leão,Paulo Silas,2009,12,1,3
Flamengo RJ,Botafogo RJ,2-2,Cuca,Ney Franco,2009,12,2,2
Santo André EC,Cruzeiro EC,0-2,Sérgio Guedes,Adilson Batista,2009,13,0,2
Flamengo RJ,Grêmio Barueri,1-1,Cuca,Estevam Soares,2009,13,1,1
Avaí FC,Grêmio Porto Alegre,1-0,Paulo Silas,Paulo Autuori,2009,13,1,0
Santos FC,Atlético Paranaense,1-0,Vanderlei Luxemburgo,Waldemar Lemos,2009,13,1,0
Internacional,São Paulo FC,2-2,Tite,Ricardo Gomes,2009,13,2,2
Goiás EC,SE Palmeiras,2-1,Hélio dos Anjos,Jorginho,2009,13,2,1
Clube Náutico,Botafogo RJ,2-2,Geninho,Ney Franco,2009,13,2,2
Corinthians SP,EC Vitória BA,2-1,Mano Menezes,Paulo César Carpegiani,2009,13,2,1
Coritiba FC,Sport Club Recife,1-1,René Simões,Émerson Leão,2009,13,1,1
Atlético Mineiro,Fluminense RJ,2-1,Celso Roth,Renato Gaúcho,2009,13,2,1
Atlético Paranaense,Avaí FC,1-3,Waldemar Lemos,Paulo Silas,2009,14,1,3
Grêmio Porto Alegre,Santo André EC,3-2,Paulo Autuori,Sérgio Guedes,2009,14,3,2
Botafogo RJ,Internacional,3-2,Ney Franco,Tite,2009,14,3,2
Corinthians SP,SE Palmeiras,0-3,Mano Menezes,Jorginho,2009,14,0,3
Santos FC,Flamengo RJ,1-2,Vanderlei Luxemburgo,Andrade,2009,14,1,2
Sport Club Recife,Clube Náutico,3-3,Émerson Leão,Geninho,2009,14,3,3
Atlético Mineiro,Goiás EC,0-1,Celso Roth,Hélio dos Anjos,2009,14,0,1
Grêmio Barueri,São Paulo FC,1-2,Estevam Soares,Ricardo Gomes,2009,14,1,2
Fluminense RJ,Cruzeiro EC,1-1,Renato Gaúcho,Adilson Batista,2009,14,1,1
EC Vitória BA,Coritiba FC,1-0,Paulo César Carpegiani,René Simões,2009,14,1,0
Coritiba FC,Botafogo RJ,2-2,René Simões,Ney Franco,2009,15,2,2
Clube Náutico,Santos FC,1-2,Geninho,Vanderlei Luxemburgo,2009,15,1,2
Internacional,Grêmio Barueri,3-2,Tite,Estevam Soares,2009,15,3,2
Goiás EC,Atlético Paranaense,3-0,Hélio dos Anjos,Antônio Lopes,2009,15,3,0
SE Palmeiras,Fluminense RJ,1-0,Muricy Ramalho,Renato Gaúcho,2009,15,1,0
Santo André EC,Corinthians SP,1-1,Alexandre Gallo,Mano Menezes,2009,15,1,1
Cruzeiro EC,Sport Club Recife,1-0,Adilson Batista,Péricles Chamusca,2009,15,1,0
São Paulo FC,Grêmio Porto Alegre,2-1,Ricardo Gomes,Paulo Autuori,2009,15,2,1
Flamengo RJ,Atlético Mineiro,3-1,Andrade,Celso Roth,2009,15,3,1
Avaí FC,EC Vitória BA,4-0,Paulo Silas,Paulo César Carpegiani,2009,15,4,0
Sport Club Recife,SE Palmeiras,0-1,Péricles Chamusca,Muricy Ramalho,2009,16,0,1
Botafogo RJ,Grêmio Barueri,2-1,Ney Franco,Estevam Soares,2009,16,2,1
Corinthians SP,Avaí FC,0-0,Mano Menezes,Paulo Silas,2009,16,0,0
Atlético Paranaense,Fluminense RJ,1-0,Antônio Lopes,Renato Gaúcho,2009,16,1,0
Flamengo RJ,Clube Náutico,1-1,Andrade,Geninho,2009,16,1,1
EC Vitória BA,São Paulo FC,0-1,Paulo César Carpegiani,Ricardo Gomes,2009,16,0,1
Santo André EC,Goiás EC,1-2,Alexandre Gallo,Hélio dos Anjos,2009,16,1,2
Grêmio Porto Alegre,Cruzeiro EC,4-1,Paulo Autuori,Adilson Batista,2009,16,4,1
Atlético Mineiro,Coritiba FC,3-2,Celso Roth,René Simões,2009,16,3,2
Santos FC,Internacional,3-3,Vanderlei Luxemburgo,Tite,2009,16,3,3
Cruzeiro EC,Atlético Paranaense,0-2,Adilson Batista,Antônio Lopes,2009,17,0,2
São Paulo FC,Botafogo RJ,3-1,Ricardo Gomes,Ney Franco,2009,17,3,1
Avaí FC,Santo André EC,1-0,Paulo Silas,Alexandre Gallo,2009,17,1,0
Coritiba FC,Santos FC,0-1,René Simões,Vanderlei Luxemburgo,2009,17,0,1
Goiás EC,Flamengo RJ,3-2,Hélio dos Anjos,Andrade,2009,17,3,2
Clube Náutico,Corinthians SP,1-0,Geninho,Mano Menezes,2009,17,1,0
SE Palmeiras,Grêmio Porto Alegre,1-1,Muricy Ramalho,Paulo Autuori,2009,17,1,1
Grêmio Barueri,EC Vitória BA,4-0,Estevam Soares,Paulo César Carpegiani,2009,17,4,0
Fluminense RJ,Sport Club Recife,5-1,Renato Gaúcho,Péricles Chamusca,2009,17,5,1
Internacional,Atlético Mineiro,3-0,Tite,Celso Roth,2009,17,3,0
Santos FC,Avaí FC,2-2,Vanderlei Luxemburgo,Paulo Silas,2009,18,2,2
Clube Náutico,Santo André EC,2-1,Geninho,Alexandre Gallo,2009,18,2,1
Botafogo RJ,Atlético Paranaense,0-1,Ney Franco,Antônio Lopes,2009,18,0,1
Flamengo RJ,Corinthians SP,1-0,Andrade,Mano Menezes,2009,18,1,0
EC Vitória BA,Fluminense RJ,2-2,Paulo César Carpegiani,Renato Gaúcho,2009,18,2,2
São Paulo FC,Goiás EC,3-1,Ricardo Gomes,Hélio dos Anjos,2009,18,3,1
Grêmio Barueri,Grêmio Porto Alegre,1-0,Estevam Soares,Paulo Autuori,2009,18,1,0
Coritiba FC,Cruzeiro EC,1-3,René Simões,Adilson Batista,2009,18,1,3
Internacional,Sport Club Recife,3-0,Tite,Péricles Chamusca,2009,18,3,0
Atlético Mineiro,SE Palmeiras,1-1,Celso Roth,Muricy Ramalho,2009,18,1,1
SE Palmeiras,Botafogo RJ,1-1,Muricy Ramalho,Estevam Soares,2009,19,1,1
Santo André EC,Internacional,0-2,Alexandre Gallo,Tite,2009,19,0,2
Avaí FC,Clube Náutico,2-1,Paulo Silas,Geninho,2009,19,2,1
