"","url.x","home_team","away_team","score","competition","full_date","isGoal","isHeader","shotLocation","shooting_team","shooting_opp","shooter","shot_assister"
"780","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Pen","Liverpool","Southampton","Steven Gerrard","NaN"
"786","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Morgan Schneiderlin","NaN"
"820","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Jay Rodriguez","Luke Shaw"
"830","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Luis Suarez","Jordan Henderson"
"832","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Jordan Henderson","NaN"
"838","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Steven Gerrard","Raheem Sterling"
"840","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Liverpool","Southampton","Jordan Henderson","Joe Allen"
"852","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Daniel Sturridge","Luis Suarez"
"858","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Central","Liverpool","Southampton","Raheem Sterling","Luis Suarez"
"874","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Adam Lallana","Rickie Lambert"
"876","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Steven Gerrard","NaN"
"878","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Southampton","Liverpool","Jay Rodriguez","Adam Lallana"
"880","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,TRUE,"Close","Southampton","Liverpool","Morgan Schneiderlin","Adam Lallana"
"884","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Southampton","Liverpool","Gastón Ramírez","Adam Lallana"
"900","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Jay Rodriguez","Luke Shaw"
"902","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Southampton","Liverpool","Morgan Schneiderlin","Adam Lallana"
"904","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Liverpool","Southampton","Luis Suarez","Daniel Sturridge"
"906","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Southampton","Liverpool","Jay Rodriguez","Rickie Lambert"
"908","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Adam Lallana","Luke Shaw"
"910","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Adam Lallana","Rickie Lambert"
"912","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Dejan Lovren","Steven Davis"
"918","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Central","Southampton","Liverpool","Rickie Lambert","Luke Shaw"
"920","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Long","Liverpool","Southampton","Luis Suarez","NaN"
"928","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,TRUE,FALSE,"Central","Liverpool","Southampton","Luis Suarez","NaN"
"934","http://www.bbc.co.uk/sport/0/football/26300991","Southampton","Liverpool","0-3","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Liverpool","Southampton","Philippe Coutinho","NaN"
"955","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,TRUE,FALSE,"Close","Newcastle United","Hull City","Vurnon Anita","NaN"
"959","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Newcastle United","Hull City","Paul Dummett","Dan Gosling"
"963","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Central","Hull City","Newcastle United","James Chester","Tom Huddlestone"
"975","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Newcastle United","Hull City","Loïc Remy","Cheick Tioté"
"983","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Lwide","Hull City","Newcastle United","Nikica Jelavic","Liam Rosenior"
"1023","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Central","Hull City","Newcastle United","Curtis Davies","Tom Huddlestone"
"1031","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Hull City","Newcastle United","Robert Koren","NaN"
"1043","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Close","Newcastle United","Hull City","Yoan Gouffran","Michael Williamson"
"1051","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Loïc Remy","Luuk de Jong"
"1079","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Loïc Remy","Luuk de Jong"
"1095","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Close","Newcastle United","Hull City","Luuk de Jong","Mathieu Debuchy"
"1099","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Central","Newcastle United","Hull City","Mathieu Debuchy","Paul Dummett"
"1119","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Newcastle United","Hull City","Yoan Gouffran","Luuk de Jong"
"1123","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,TRUE,FALSE,"Close","Newcastle United","Hull City","Moussa Sissoko","NaN"
"1127","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Yoan Gouffran","NaN"
"1155","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,TRUE,TRUE,"Central","Hull City","Newcastle United","Curtis Davies","Tom Huddlestone"
"1183","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,TRUE,FALSE,"Central","Newcastle United","Hull City","Loïc Remy","NaN"
"1187","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Hull City","Newcastle United","Shane Long","Nikica Jelavic"
"1191","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Close","Hull City","Newcastle United","Ahmed Elmohamady","Shane Long"
"1195","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Hull City","Newcastle United","Nikica Jelavic","NaN"
"1211","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Loïc Remy","NaN"
"1235","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Central","Hull City","Newcastle United","Nikica Jelavic","Ahmed Elmohamady"
"1255","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Central","Hull City","Newcastle United","Shane Long","Maynor Figueroa"
"1291","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Central","Hull City","Newcastle United","Shane Long","Liam Rosenior"
"1303","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,TRUE,FALSE,"Central","Newcastle United","Hull City","Moussa Sissoko","Mathieu Debuchy"
"1307","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Close","Hull City","Newcastle United","Alex Bruce","NaN"
"1311","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,TRUE,"Close","Hull City","Newcastle United","Alex Bruce","Tom Huddlestone"
"1327","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Yoan Gouffran","NaN"
"1331","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Cheick Tioté","NaN"
"1335","http://www.bbc.co.uk/sport/0/football/26300992","Hull","Newcastle","1-4","Premier League",2014-03-01,FALSE,FALSE,"Long","Newcastle United","Hull City","Michael Williamson","NaN"
"1375","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Victor Anichebe","Graham Dorrans"
"1395","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","James Morrison","Graham Dorrans"
"1415","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","Sunderland","West Bromwich Albion","Lee Cattermole","Jozy Altidore"
"1419","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Chris Brunt","NaN"
"1451","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Stéphane Sessegnon","NaN"
"1471","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Rwide","Sunderland","West Bromwich Albion","Santiago Vergini","Fabio Borini"
"1475","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","Sunderland","West Bromwich Albion","Sebastian Larsson","Jack Colback"
"1487","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Craig Dawson","Stéphane Sessegnon"
"1491","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Graham Dorrans","NaN"
"1499","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Central","Sunderland","West Bromwich Albion","Jozy Altidore","Jack Colback"
"1511","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Central","West Bromwich Albion","Sunderland","Stéphane Sessegnon","Youssuf Mulumbu"
"1523","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Saido Berahino","Graham Dorrans"
"1535","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Youssuf Mulumbu","Graham Dorrans"
"1547","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Stéphane Sessegnon","Gareth McAuley"
"1579","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","Sunderland","West Bromwich Albion","Fabio Borini","Adam Johnson"
"1583","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Saido Berahino","Victor Anichebe"
"1595","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Stéphane Sessegnon","Saido Berahino"
"1607","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Close","Sunderland","West Bromwich Albion","Connor Wickham","Adam Johnson"
"1631","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","West Bromwich Albion","Sunderland","Graham Dorrans","NaN"
"1647","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,TRUE,FALSE,"Central","Sunderland","West Bromwich Albion","Fabio Borini","Sebastian Larsson"
"1659","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Lwide","Sunderland","West Bromwich Albion","Connor Wickham","Jack Colback"
"1707","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,TRUE,FALSE,"Central","Sunderland","West Bromwich Albion","Jack Colback","Marcos Alonso"
"1723","http://www.bbc.co.uk/sport/0/football/26300993","Sunderland","West Brom","2-0","Premier League",2014-05-07,FALSE,FALSE,"Long","Sunderland","West Bromwich Albion","Fabio Borini","Marcos Alonso"
"1755","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Romelu Lukaku","Leighton Baines"
"1779","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Ross Barkley","Gareth Barry"
"1803","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Everton","West Ham United","Romelu Lukaku","Gareth Barry"
"1807","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,TRUE,FALSE,"Central","Everton","West Ham United","Romelu Lukaku","Leighton Baines"
"1835","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","West Ham United","Everton","Andy Carroll","Kevin Nolan"
"1847","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","West Ham United","Everton","Mark Noble","NaN"
"1855","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Close","Everton","West Ham United","Sylvain Distin","Leighton Baines"
"1879","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Everton","West Ham United","James McCarthy","Romelu Lukaku"
"1883","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Gerard Deulofeu","Leighton Baines"
"1915","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","West Ham United","Everton","Kevin Nolan","Stewart Downing"
"1923","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","West Ham United","Everton","Andy Carroll","NaN"
"1927","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Leon Osman","Gerard Deulofeu"
"1931","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Everton","West Ham United","Steven Pienaar","Leighton Baines"
"1943","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Everton","West Ham United","Gerard Deulofeu","NaN"
"1947","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Everton","West Ham United","Steven Pienaar","Leighton Baines"
"1971","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Leon Osman","NaN"
"1991","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Everton","West Ham United","Gerard Deulofeu","Steven Pienaar"
"1995","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Steven Pienaar","James McCarthy"
"1999","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Everton","West Ham United","Gareth Barry","Leighton Baines"
"2007","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","James McCarthy","Gareth Barry"
"2019","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","West Ham United","Everton","Matthew Taylor","Andy Carroll"
"2063","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Everton","West Ham United","Gerard Deulofeu","Leighton Baines"
"2075","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Everton","West Ham United","Steven Naismith","James McCarthy"
"2079","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Steven Pienaar","Gareth Barry"
"2099","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","West Ham United","Everton","Carlton Cole","NaN"
"2103","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Everton","West Ham United","Gareth Barry","James McCarthy"
"2107","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Everton","West Ham United","Steven Naismith","Gareth Barry"
"2111","http://www.bbc.co.uk/sport/0/football/26300994","Everton","West Ham","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Everton","West Ham United","Steven Naismith","Leon Osman"
"2151","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Arsenal","Stoke City","Yaya Sanogo","Alex Oxlade-Chamberlain"
"2175","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Arsenal","Stoke City","Olivier Giroud","Alex Oxlade-Chamberlain"
"2179","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Arsenal","Stoke City","Mikel Arteta","Santiago Cazorla"
"2199","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Arsenal","Stoke City","Mesut Özil","Olivier Giroud"
"2219","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,TRUE,FALSE,"Pen","Stoke City","Arsenal","Jonathan Walters","NaN"
"2235","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Stoke City","Arsenal","Charlie Adam","NaN"
"2255","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Stoke City","Arsenal","Geoff Cameron","Peter Crouch"
"2263","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Stoke City","Arsenal","Peter Crouch","Marko Arnautovic"
"2307","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Central","Stoke City","Arsenal","Peter Crouch","Geoff Cameron"
"2315","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Arsenal","Stoke City","Santiago Cazorla","Lukas Podolski"
"2319","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Stoke City","Arsenal","Steven N'Zonzi","Peter Crouch"
"2351","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Arsenal","Stoke City","Santiago Cazorla","Tomas Rosicky"
"2363","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Stoke City","Arsenal","Glenn Whelan","Marko Arnautovic"
"2375","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Lwide","Arsenal","Stoke City","Lukas Podolski","Mikel Arteta"
"2379","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Rwide","Stoke City","Arsenal","Peter Crouch","NaN"
"2383","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,TRUE,"Central","Arsenal","Stoke City","Olivier Giroud","Bacary Sagna"
"2419","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,TRUE,"Close","Arsenal","Stoke City","Olivier Giroud","Kieran Gibbs"
"2427","http://www.bbc.co.uk/sport/0/football/26301137","Stoke","Arsenal","1-0","Premier League",2014-03-01,FALSE,FALSE,"Long","Arsenal","Stoke City","Santiago Cazorla","NaN"
"2908","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Norwich City","Aston Villa","Gary Hooper","Jonny Howson"
"2928","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Aston Villa","Norwich City","Gabriel Agbonlahor","Fabian Delph"
"2930","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,TRUE,"Central","Aston Villa","Norwich City","Nathan Baker","Ashley Westwood"
"2934","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Rwide","Norwich City","Aston Villa","Johan Elmander","Russell Martin"
"2948","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Rwide","Aston Villa","Norwich City","Andreas Weimann","Christian Benteke"
"2970","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,TRUE,"Central","Aston Villa","Norwich City","Gabriel Agbonlahor","Fabian Delph"
"2984","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Lwide","Aston Villa","Norwich City","Gabriel Agbonlahor","Ryan Bertrand"
"2990","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Aston Villa","Norwich City","Karim El Ahmadi","Christian Benteke"
"2992","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,TRUE,FALSE,"Central","Aston Villa","Norwich City","Leandro Bacuna","Andreas Weimann"
"3000","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,TRUE,"Close","Norwich City","Aston Villa","Wes Hoolahan","NaN"
"3002","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Central","Norwich City","Aston Villa","Wes Hoolahan","Gary Hooper"
"3022","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,TRUE,TRUE,"Close","Aston Villa","Norwich City","Christian Benteke","Ashley Westwood"
"3032","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,TRUE,FALSE,"Central","Aston Villa","Norwich City","Christian Benteke","Ron Vlaar"
"3034","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Norwich City","Aston Villa","Nathan Redmond","Wes Hoolahan"
"3046","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Norwich City","Aston Villa","Wes Hoolahan","Gary Hooper"
"3056","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,TRUE,FALSE,"Central","Norwich City","Aston Villa","Wes Hoolahan","Gary Hooper"
"3060","http://www.bbc.co.uk/sport/0/football/26311656","Aston Villa","Norwich","4-1","Premier League",2014-03-02,FALSE,FALSE,"Long","Aston Villa","Norwich City","Christian Benteke","NaN"
