Rivalry
 Oxford United vs. Swindon Town
 Banbury United vs. Brackley Town
 Aylesbury vs. Aylesbury United
 Milton Keynes Dons vs. Wycombe Wanderers
 Cambridge City vs. Cambridge United
" Cambridge United vs. Histon,"
 Cambridge United vs. Peterborough United
 AFC Wimbledon vs. Milton Keynes Dons
 AFC Dunstable vs. Dunstable Town
 Luton Town vs. Stevenage
 Luton Town vs. Watford
 Milton Keynes Dons vs. Northampton Town
 Milton Keynes Dons vs. Peterborough United
 Northampton Town vs. Peterborough United
 Kettering Town vs. Rushden & Diamonds
 Oxford United vs. Reading 
 Canvey Island vs. Concord Rangers
 Ipswich Town vs. Norwich City
 Colchester United vs. Southend United
 Bury Town vs. Lowestoft Town
 Arsenal vs. Tottenham Hotspur
 Arsenal vs. Chelsea
 Millwall vs. West Ham United
 Dulwich Hamlet vs Tooting & Mitcham
 Enfield 1893 vs. Enfield Town
 Carshalton Athletic vs. Sutton United
 Chelsea vs. Tottenham Hotspur
 Crewe Alexandra vs. Port Vale
 Derby County vs. Leicester City
 Derby County vs. Nottingham Forest
 Leicester City vs. Nottingham Forest
 Chesterfield vs. Derby County
 Grimsby Town vs. Lincoln City
 Grantham Town vs. Stamford
 Nottingham Forest vs. Notts County
 Mansfield Town vs. Notts County
 Halesowen Town vs. Stourbridge
 Nuneaton Town vs. Tamworth
 Coventry City vs. Leicester City
 Chesterfield vs. Mansfield Town
 Port Vale vs. Stoke City
 Port Vale vs. Walsall
 Aston Villa vs. Birmingham City
 Shrewsbury Town vs. A.F.C. Telford United
Hednesford Town vs. Stafford Rangers
Stoke City vs. Wolverhampton Wanderers
 Huddersfield Town vs. Oldham Athletic
 Oldham Athletic vs. Rochdale
 Accrington Stanley vs. Morecambe
 Altrincham vs. Macclesfield Town
 Bolton Wanderers vs. Wigan Athletic
 Burnley vs. Blackburn Rovers
 Blackpool vs. Fleetwood Town
 Bury vs. Rochdale
 Manchester City vs. Manchester United
" Everton vs. Liverpool,"
 Liverpool vs. Manchester United
 Manchester City vs. Everton
 Northwich Victoria vs. Witton Albion
 Maine Road vs. West Didsbury & Chorlton
 Hallam vs. Sheffield
 Sheffield United vs. Sheffield Wednesday
 Hyde United vs. Stalybridge Celtic
 Newcastle United vs. Sunderland
 Newcastle United vs. Middlesbrough
 Middlesbrough vs. Sunderland
 Leeds United vs. Manchester United
 Blackpool vs. Preston North End
 Bradford City vs. Bradford Park Avenue
 Aldershot Town vs. Reading
 Aldershot Town vs. Woking
 Games between Bognor Regis Town and Whitehawk
 Bristol City vs. Bristol Rovers
 Salisbury vs. Winchester City
 Plymouth Argyle vs. Portsmouth
 Dorking vs. Dorking Wanderers
 Eastbourne Borough vs. Lewes
 Fleet Town vs. Fleet Spurs
 Forest Green Rovers vs. Gloucester City
 Gloucester City vs. Cheltenham Town
 Brighton & Hove Albion vs. Crystal Palace
 Peacehaven & Telscombe vs. Newhaven
 Gillingham vs. Maidstone United
" Totton vs. Winchester City,"
 Bournemouth vs. Southampton
 Aldershot Town vs. Farnborough Town
 Portsmouth vs. Southampton
 Gosport Borough vs. Havant & Waterlooville
 Gloucester City vs. Worcester City
 Margate vs. Ramsgate
 Walton Casuals vs Walton & Hersham
