"selection1_team_1","selection1_team_2","selection1_team_2_url","selection1_score","selection1_score_url"
"FC Dallas","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","2:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-fc-dallas-columbus-crew/"
"CD Chivas","Chicago Fire","http://usa.worldfootball.net/teams/chicago-fire/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-cd-chivas-chicago-fire/"
"San Jose Earthquakes","New York RB","http://usa.worldfootball.net/teams/new-york-rb/","2:2 (1:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-san-jose-earthquakes-new-york-rb/"
"Portland Timbers","Sporting Kansas City","http://usa.worldfootball.net/teams/sporting-kansas-city/","1:2 (1:2)","http://usa.worldfootball.net/report/major-league-soccer-2011-portland-timbers-sporting-kansas-city/"
"Colorado Rapids","Houston Dynamo","http://usa.worldfootball.net/teams/houston-dynamo/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-colorado-rapids-houston-dynamo/"
"Real Salt Lake","New England Revolution","http://usa.worldfootball.net/teams/new-england-revolution/","3:3 (1:2)","http://usa.worldfootball.net/report/major-league-soccer-2011-real-salt-lake-new-england-revolution/"
"Los Angeles Galaxy","Seattle Sounders","http://usa.worldfootball.net/teams/seattle-sounders/","0:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-los-angeles-galaxy-seattle-sounders/"
"New York RB","Toronto FC","http://usa.worldfootball.net/teams/toronto-fc/","5:0 (2:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-new-york-rb-toronto-fc/"
"Sporting Kansas City","Colorado Rapids","http://usa.worldfootball.net/teams/colorado-rapids/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-sporting-kansas-city-colorado-rapids/"
"Vancouver Whitecaps","Columbus Crew","http://usa.worldfootball.net/teams/columbus-crew/","0:1 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-vancouver-whitecaps-columbus-crew/"
"CD Chivas","San Jose Earthquakes","http://usa.worldfootball.net/teams/san-jose-earthquakes/","2:0 (0:0)","http://usa.worldfootball.net/report/major-league-soccer-2011-cd-chivas-san-jose-earthquakes/"
"Sporting Kansas City","CD Chivas","http://usa.worldfootball.net/teams/cd-chivas/","1:1 (0:1)","http://usa.worldfootball.net/report/major-league-soccer-2011-sporting-kansas-city-cd-chivas/"
