GW,Home,Away,xG_H,xG_A
16,Darmstadt,Berlin,0.45,2.08
17,Gladbach,Darmstadt,0.91,1.73
17,Schalke,Hoffenheim,0.90,0.17
17,Frankfurt,Bremen,1.40,0.87
17,Köln,Dortmund,1.97,0.48
17,Hannover,Bayern,0.22,2.20
17,Stuttgart,Wolfsburg,2.09,1.79
17,Berlin,Mainz,1.80,0.09
17,Hamburg,Augsburg,0.59,2.45
17,Ingolstadt,Leverkusen,0.69,0.23
18,Gladbach,Dortmund,1.46,1.29
18,Schalke,Bremen,0.74,1.97
18,Hoffenheim,Leverkusen,1.61,2.28
18,Frankfurt,Wolfsburg,1.83,2.93
18,Köln,Stuttgart,0.86,2.78
18,Hannover,Darmstadt,1.55,3.07
18,Berlin,Augsburg,0.56,1.30
18,Hamburg,Bayern,0.09,0.99
18,Ingolstadt,Mainz,1.16,1.06
19,Bayern,Hoffenheim,2.94,0.35
19,Wolfsburg,Köln,1.99,0.94
19,Leverkusen,Hannover,2.04,0.23
19,Augsburg,Frankfurt,0.26,1.90
19,Dortmund,Ingolstadt,1.79,0.40
19,Bremen,Berlin,1.42,1.18
19,Mainz,Gladbach,0.29,1.50
19,Stuttgart,Hamburg,2.55,1.78
19,Darmstadt,Schalke,0.23,1.54
20,Gladbach,Bremen,1.96,0.81
20,Leverkusen,Bayern,0.39,0.22
20,Schalke,Wolfsburg,0.37,0.97
20,Hoffenheim,Darmstadt,0.41,1.55
20,Frankfurt,Stuttgart,3.34,2.94
20,Hannover,Mainz,0.18,0.70
20,Berlin,Dortmund,1.27,0.31
20,Hamburg,Köln,0.62,1.56
20,Ingolstadt,Augsburg,1.08,0.56
21,Wolfsburg,Ingolstadt,1.94,0.31
21,Augsburg,Bayern,0.83,2.40
21,Dortmund,Hannover,1.67,0.22
21,Bremen,Hoffenheim,2.90,0.67
21,Mainz,Schalke,0.76,0.97
21,Köln,Frankfurt,2.47,0.98
21,Stuttgart,Berlin,1.20,1.39
21,Hamburg,Gladbach,2.55,1.58
21,Darmstadt,Leverkusen,1.60,0.87
22,Bayern,Darmstadt,3.91,1.13
22,Gladbach,Köln,0.98,0.94
22,Leverkusen,Dortmund,0.63,0.83
22,Schalke,Stuttgart,1.17,1.76
22,Hoffenheim,Mainz,1.80,1.24
22,Frankfurt,Hamburg,0.32,0.41
22,Hannover,Augsburg,0.86,1.33
22,Berlin,Wolfsburg,1.02,1.75
22,Ingolstadt,Bremen,1.43,0.59
23,Wolfsburg,Bayern,2.04,1.11
23,Augsburg,Gladbach,1.51,2.31
23,Dortmund,Hoffenheim,2.64,1.34
23,Frankfurt,Schalke,1.37,0.23
23,Bremen,Darmstadt,2.79,0.36
23,Mainz,Leverkusen,1.73,0.87
23,Köln,Berlin,0.93,0.92
23,Stuttgart,Hannover,3.13,2.07
23,Hamburg,Ingolstadt,1.02,1.16
24,Bayern,Mainz,0.86,0.66
24,Gladbach,Stuttgart,2.35,1.05
24,Leverkusen,Bremen,1.41,1.46
24,Schalke,Hamburg,1.56,0.66
24,Hoffenheim,Augsburg,2.32,0.70
24,Hannover,Wolfsburg,0.32,3.45
24,Berlin,Frankfurt,1.27,0.40
24,Ingolstadt,Köln,0.91,0.57
24,Darmstadt,Dortmund,0.41,3.07
25,Wolfsburg,Gladbach,0.73,1.26
25,Augsburg,Leverkusen,2.61,0.65
25,Dortmund,Bayern,0.92,1.11
25,Frankfurt,Ingolstadt,1.16,1.44
25,Bremen,Hannover,1.44,1.47
25,Mainz,Darmstadt,1.31,0.73
25,Köln,Schalke,1.94,0.98
25,Stuttgart,Hoffenheim,3.34,0.82
25,Hamburg,Berlin,1.02,0.22
26,Bayern,Bremen,4.06,0.22
26,Gladbach,Frankfurt,2.46,0.17
26,Leverkusen,Hamburg,0.80,1.83
26,Dortmund,Mainz,3.72,0.00
26,Hoffenheim,Wolfsburg,0.17,1.90
26,Hannover,Köln,0.09,0.89
26,Berlin,Schalke,1.24,0.59
26,Ingolstadt,Stuttgart,1.53,1.18
26,Darmstadt,Augsburg,1.58,0.79
27,Wolfsburg,Darmstadt,1.02,0.41
27,Augsburg,Dortmund,1.33,2.07
27,Schalke,Gladbach,0.32,3.04
27,Frankfurt,Hannover,1.02,0.40
27,Bremen,Mainz,0.36,0.83
27,Köln,Bayern,0.75,0.51
27,Stuttgart,Leverkusen,1.28,3.17
27,Berlin,Ingolstadt,1.24,0.36
27,Hamburg,Hoffenheim,2.74,2.22
28,Bayern,Frankfurt,2.24,0.00
28,Gladbach,Berlin,2.72,0.59
28,Leverkusen,Wolfsburg,1.05,1.50
28,Dortmund,Bremen,2.01,1.24
28,Hoffenheim,Köln,1.59,0.41
28,Mainz,Augsburg,2.55,1.70
28,Hannover,Hamburg,1.63,1.22
28,Ingolstadt,Schalke,0.73,0.59
28,Darmstadt,Stuttgart,2.93,0.73
29,Wolfsburg,Mainz,0.73,2.35
29,Schalke,Dortmund,0.56,1.14
